11109,12892,"Colorado Springs, CO","Los Angeles, CA",834,6460,822,R822
12892,11109,"Los Angeles, CA","Colorado Springs, CO",834,6460,823,R823
11292,11986,"Denver, CO","Grand Rapids, MI",1015,6904,824,R824
11292,12478,"Denver, CO","New York, NY",1626,6673,825,R825
12478,11292,"New York, NY","Denver, CO",1626,6673,826,R826
11292,14683,"Denver, CO","San Antonio, TX",794,7041,827,R827
14683,11292,"San Antonio, TX","Denver, CO",794,7041,828,R828
11292,11603,"Denver, CO","Eugene, OR",996,6700,829,R829
11292,13487,"Denver, CO","Minneapolis, MN",680,0A875,830,R830
11292,14492,"Denver, CO","Raleigh/Durham, NC",1436,0A875,831,R831
11292,14747,"Denver, CO","Seattle, WA",1024,0A875,832,R832
11298,11292,"Dallas/Fort Worth, TX","Denver, CO",641,0A875,833,R833
13342,11292,"Milwaukee, WI","Denver, CO",896,0A875,834,R834
13487,11292,"Minneapolis, MN","Denver, CO",680,0A875,835,R835
14893,11292,"Sacramento, CA","Denver, CO",909,0A875,836,R836
11292,10693,"Denver, CO","Nashville, TN",1014,6725,837,R837
11638,11921,"Fresno, CA","Grand Junction, CO",632,6200,838,R838
14783,11292,"Springfield, MO","Denver, CO",637,6904,839,R839
11193,11292,"Cincinnati, OH","Denver, CO",1069,6035,840,R840
11292,11193,"Denver, CO","Cincinnati, OH",1069,6035,841,R841
12953,11292,"New York, NY","Denver, CO",1620,1260,842,R842
11292,14869,"Denver, CO","Salt Lake City, UT",391,6700,843,R843
13367,11292,"Moline, IL","Denver, CO",752,6700,844,R844
11292,10620,"Denver, CO","Billings, MT",455,0A875,845,R845
11292,11423,"Denver, CO","Des Moines, IA",589,0A875,846,R846
11292,13342,"Denver, CO","Milwaukee, WI",896,0A875,847,R847
11292,13871,"Denver, CO","Omaha, NE",472,0A875,848,R848
11292,13891,"Denver, CO","Ontario, CA",819,0A875,849,R849
11292,15304,"Denver, CO","Tampa, FL",1506,0A875,850,R850
13204,11292,"Orlando, FL","Denver, CO",1546,0A875,851,R851
14492,11292,"Raleigh/Durham, NC","Denver, CO",1436,0A875,852,R852
14679,11292,"San Diego, CA","Denver, CO",853,0A875,853,R853
10849,11292,"Bozeman, MT","Denver, CO",524,6460,854,R854
11003,11292,"Cedar Rapids/Iowa City, IA","Denver, CO",692,6460,855,R855
11292,10849,"Denver, CO","Bozeman, MT",524,6460,856,R856
11292,11003,"Denver, CO","Cedar Rapids/Iowa City, IA",692,6460,857,R857
11292,11995,"Denver, CO","Greensboro/High Point, NC",1370,6460,858,R858
11292,14747,"Denver, CO","Seattle, WA",1024,6460,859,R859
11995,11292,"Greensboro/High Point, NC","Denver, CO",1370,6460,860,R860
14747,11292,"Seattle, WA","Denver, CO",1024,6460,861,R861
13796,11292,"Oakland, CA","Denver, CO",957,6200,862,R862
11003,11292,"Cedar Rapids/Iowa City, IA","Denver, CO",692,6700,863,R863
10620,11292,"Billings, MT","Denver, CO",455,0A875,864,R864
11292,10423,"Denver, CO","Austin, TX",775,0A875,865,R865
11292,14679,"Denver, CO","San Diego, CA",853,0A875,866,R866
11423,11292,"Des Moines, IA","Denver, CO",589,0A875,867,R867
12266,11292,"Houston, TX","Denver, CO",862,0A875,868,R868
13871,11292,"Omaha, NE","Denver, CO",472,0A875,869,R869
13891,11292,"Ontario, CA","Denver, CO",819,0A875,870,R870
14831,11292,"San Jose, CA","Denver, CO",948,0A875,871,R871
11259,11292,"Dallas, TX","Denver, CO",651,6725,872,R872
11697,11292,"Fort Lauderdale, FL","Denver, CO",1703,6725,873,R873
10693,11292,"Nashville, TN","Denver, CO",1014,6460,874,R874
11292,10693,"Denver, CO","Nashville, TN",1014,6460,875,R875
11109,14747,"Colorado Springs, CO","Seattle, WA",1068,6700,876,R876
11603,11292,"Eugene, OR","Denver, CO",996,6700,877,R877
14747,11109,"Seattle, WA","Colorado Springs, CO",1068,6700,878,R878
10140,11292,"Albuquerque, NM","Denver, CO",349,0A875,879,R879
11292,14122,"Denver, CO","Pittsburgh, PA",1290,0A875,880,R880
13871,11292,"Omaha, NE","Denver, CO",472,0A875,881,R881
14122,11292,"Pittsburgh, PA","Denver, CO",1290,0A875,882,R882
11423,11292,"Des Moines, IA","Denver, CO",589,6003,883,R883
11292,13485,"Denver, CO","Madison, WI",826,6460,884,R884
13485,11292,"Madison, WI","Denver, CO",826,6460,885,R885
11292,13244,"Denver, CO","Memphis, TN",872,6200,886,R886
11292,12003,"Denver, CO","Great Falls, MT",624,6904,887,R887
11292,15919,"Denver, CO","Fayetteville, AR",616,6904,888,R888
15919,11292,"Fayetteville, AR","Denver, CO",616,6904,889,R889
11109,14747,"Colorado Springs, CO","Seattle, WA",1068,6580,890,R890
14747,11109,"Seattle, WA","Colorado Springs, CO",1068,6580,891,R891
11433,11292,"Detroit, MI","Denver, CO",1123,1260,892,R892
11292,13367,"Denver, CO","Moline, IL",752,6700,893,R893
11292,10140,"Denver, CO","Albuquerque, NM",349,0A875,894,R894
12889,11292,"Las Vegas, NV","Denver, CO",628,0A875,895,R895
12953,11292,"New York, NY","Denver, CO",1620,0A875,896,R896
14747,11292,"Seattle, WA","Denver, CO",1024,0A875,897,R897
14893,11292,"Sacramento, CA","Denver, CO",909,0A875,898,R898
13244,11292,"Memphis, TN","Denver, CO",872,6003,899,R899
10693,11292,"Nashville, TN","Denver, CO",1014,6460,900,R900
11292,10693,"Denver, CO","Nashville, TN",1014,6460,901,R901
11292,13486,"Denver, CO","Missoula, MT",679,6460,902,R902
11292,15412,"Denver, CO","Knoxville, TN",1162,6460,903,R903
13486,11292,"Missoula, MT","Denver, CO",679,6460,904,R904
15412,11292,"Knoxville, TN","Denver, CO",1162,6460,905,R905
11921,11638,"Grand Junction, CO","Fresno, CA",632,6200,906,R906
11921,13244,"Grand Junction, CO","Memphis, TN",1061,6200,907,R907
13244,11292,"Memphis, TN","Denver, CO",872,6200,908,R908
13244,11292,"Memphis, TN","Denver, CO",872,6200,909,R909
13244,11921,"Memphis, TN","Grand Junction, CO",1061,6200,910,R910
12003,11292,"Great Falls, MT","Denver, CO",624,6904,911,R911
12992,11292,"Little Rock, AR","Denver, CO",771,6904,912,R912
10950,14107,"Cortez, CO","Phoenix, AZ",328,1177,913,R913
14107,10950,"Phoenix, AZ","Cortez, CO",328,1177,914,R914
11292,13487,"Denver, CO","Minneapolis, MN",680,1260,915,R915
11433,11292,"Detroit, MI","Denver, CO",1123,1260,916,R916
15370,11292,"Tulsa, OK","Denver, CO",541,7041,917,R917
10140,11292,"Albuquerque, NM","Denver, CO",349,6700,918,R918
11292,13198,"Denver, CO","Kansas City, MO",533,6700,919,R919
11292,14262,"Denver, CO","Palm Springs, CA",776,6700,920,R920
11540,11292,"El Paso, TX","Denver, CO",563,6700,921,R921
14262,11292,"Palm Springs, CA","Denver, CO",776,6700,922,R922
11066,11292,"Columbus, OH","Denver, CO",1154,0A875,923,R923
11292,10140,"Denver, CO","Albuquerque, NM",349,0A875,924,R924
11292,11042,"Denver, CO","Cleveland, OH",1201,0A875,925,R925
11292,12339,"Denver, CO","Indianapolis, IN",977,0A875,926,R926
11292,12889,"Denver, CO","Las Vegas, NV",628,0A875,927,R927
13264,11292,"Medford, OR","Denver, CO",964,0A875,928,R928
13495,11292,"New Orleans, LA","Denver, CO",1062,0A875,929,R929
14122,11292,"Pittsburgh, PA","Denver, CO",1290,0A875,930,R930
14831,11292,"San Jose, CA","Denver, CO",948,0A875,931,R931
11292,11259,"Denver, CO","Dallas, TX",651,6725,932,R932
11292,14057,"Denver, CO","Portland, OR",991,6460,933,R933
11292,14747,"Denver, CO","Seattle, WA",1024,6460,934,R934
14057,11292,"Portland, OR","Denver, CO",991,6460,935,R935
14747,11292,"Seattle, WA","Denver, CO",1024,6460,936,R936
11292,13367,"Denver, CO","Moline, IL",752,6904,937,R937
11292,11540,"Denver, CO","El Paso, TX",563,6700,938,R938
11292,11603,"Denver, CO","Eugene, OR",996,6700,939,R939
11292,15919,"Denver, CO","Fayetteville, AR",616,6700,940,R940
11603,11292,"Eugene, OR","Denver, CO",996,6700,941,R941
12278,11292,"Wichita, KS","Denver, CO",420,6700,942,R942
10140,11292,"Albuquerque, NM","Denver, CO",349,0A875,943,R943
11292,10821,"Denver, CO","Baltimore, MD",1491,0A875,944,R944
11292,11066,"Denver, CO","Columbus, OH",1154,0A875,945,R945
11292,12266,"Denver, CO","Houston, TX",862,0A875,946,R946
11292,14122,"Denver, CO","Pittsburgh, PA",1290,0A875,947,R947
11292,14831,"Denver, CO","San Jose, CA",948,0A875,948,R948
11292,14831,"Denver, CO","San Jose, CA",948,0A875,949,R949
11292,14869,"Denver, CO","Salt Lake City, UT",391,0A875,950,R950
11292,15016,"Denver, CO","St. Louis, MO",770,0A875,951,R951
14869,11292,"Salt Lake City, UT","Denver, CO",391,0A875,952,R952
15304,11292,"Tampa, FL","Denver, CO",1506,0A875,953,R953
11292,12889,"Denver, CO","Las Vegas, NV",628,6725,954,R954
11292,15370,"Denver, CO","Tulsa, OK",541,6003,955,R955
11109,11292,"Colorado Springs, CO","Denver, CO",73,6904,956,R956
11292,11109,"Denver, CO","Colorado Springs, CO",73,6904,957,R957
11423,11292,"Des Moines, IA","Denver, CO",589,6904,958,R958
10620,11292,"Billings, MT","Denver, CO",455,6910,959,R959
11292,10620,"Denver, CO","Billings, MT",455,6910,960,R960
11292,13891,"Denver, CO","Ontario, CA",819,6910,961,R961
13891,11292,"Ontario, CA","Denver, CO",819,6910,962,R962
14512,11292,"Rockford, IL","Denver, CO",828,6910,963,R963
11292,12278,"Denver, CO","Wichita, KS",420,6700,964,R964
11292,14730,"Denver, CO","Louisville, KY",1024,6700,965,R965
14457,11292,"Rapid City, SD","Denver, CO",300,6700,966,R966
10529,11292,"Hartford, CT","Denver, CO",1671,0A875,967,R967
10849,11292,"Bozeman, MT","Denver, CO",524,0A875,968,R968
11292,10849,"Denver, CO","Bozeman, MT",524,0A875,969,R969
11292,13264,"Denver, CO","Medford, OR",964,0A875,970,R970
11292,13495,"Denver, CO","New Orleans, LA",1062,0A875,971,R971
11292,14107,"Denver, CO","Phoenix, AZ",602,0A875,972,R972
11292,14570,"Denver, CO","Reno, NV",804,0A875,973,R973
11292,14683,"Denver, CO","San Antonio, TX",794,0A875,974,R974
11292,14771,"Denver, CO","San Francisco, CA",967,0A875,975,R975
11775,11292,"Sioux Falls, SD","Denver, CO",483,0A875,976,R976
11884,11292,"Spokane, WA","Denver, CO",836,0A875,977,R977
14570,11292,"Reno, NV","Denver, CO",804,0A875,978,R978
14771,11292,"San Francisco, CA","Denver, CO",967,0A875,979,R979
15304,11292,"Tampa, FL","Denver, CO",1506,0A875,980,R980
10140,11292,"Albuquerque, NM","Denver, CO",349,6003,981,R981
11292,10140,"Denver, CO","Albuquerque, NM",349,6003,982,R982
11292,11042,"Denver, CO","Cleveland, OH",1201,6003,983,R983
11292,14869,"Denver, CO","Salt Lake City, UT",391,6003,984,R984
13198,11292,"Kansas City, MO","Denver, CO",533,6003,985,R985
11109,13930,"Colorado Springs, CO","Chicago, IL",911,6460,986,R986
10194,11292,"Dallas/Fort Worth, TX","Denver, CO",626,6200,987,R987
11292,10194,"Denver, CO","Dallas/Fort Worth, TX",626,6200,988,R988
13244,11292,"Memphis, TN","Denver, CO",872,6200,989,R989
10397,11292,"Atlanta, GA","Denver, CO",1199,7041,990,R990
11292,13367,"Denver, CO","Moline, IL",752,7041,991,R991
11292,13495,"Denver, CO","New Orleans, LA",1062,7041,992,R992
10372,14869,"Aspen, CO","Salt Lake City, UT",292,6700,993,R993
11267,11292,"Dayton, OH","Denver, CO",1085,6700,994,R994
11292,13198,"Denver, CO","Kansas City, MO",533,6700,995,R995
11292,15919,"Denver, CO","Fayetteville, AR",616,6700,996,R996
11298,11292,"Dallas/Fort Worth, TX","Denver, CO",641,6700,997,R997
11638,11292,"Fresno, CA","Denver, CO",844,6700,998,R998
14107,11292,"Phoenix, AZ","Denver, CO",602,6700,999,R999
14683,11292,"San Antonio, TX","Denver, CO",794,6700,1000,R1000
10423,11292,"Austin, TX","Denver, CO",775,0A875,1001,R1001
11057,11292,"Charlotte, NC","Denver, CO",1337,0A875,1002,R1002
11292,11057,"Denver, CO","Charlotte, NC",1337,0A875,1003,R1003
11292,11775,"Denver, CO","Sioux Falls, SD",483,0A875,1004,R1004
11292,11775,"Denver, CO","Sioux Falls, SD",483,0A875,1005,R1005
11292,11884,"Denver, CO","Spokane, WA",836,0A875,1006,R1006
11292,13198,"Denver, CO","Kansas City, MO",533,0A875,1007,R1007
11292,13851,"Denver, CO","Oklahoma City, OK",495,0A875,1008,R1008
11292,14122,"Denver, CO","Pittsburgh, PA",1290,0A875,1009,R1009
11292,14679,"Denver, CO","San Diego, CA",853,0A875,1010,R1010
11292,14683,"Denver, CO","San Antonio, TX",794,0A875,1011,R1011
11775,11292,"Sioux Falls, SD","Denver, CO",483,0A875,1012,R1012
11292,11042,"Denver, CO","Cleveland, OH",1201,6725,1013,R1013
11292,11423,"Denver, CO","Des Moines, IA",589,6460,1014,R1014
11423,11292,"Des Moines, IA","Denver, CO",589,6460,1015,R1015
13930,11109,"Chicago, IL","Colorado Springs, CO",911,6460,1016,R1016
13487,11292,"Minneapolis, MN","Denver, CO",680,1260,1017,R1017
11292,12278,"Denver, CO","Wichita, KS",420,7041,1018,R1018
10713,11292,"Boise, ID","Denver, CO",649,6700,1019,R1019
11292,10140,"Denver, CO","Albuquerque, NM",349,6700,1020,R1020
11292,15016,"Denver, CO","St. Louis, MO",770,6700,1021,R1021
14869,10372,"Salt Lake City, UT","Aspen, CO",292,6700,1022,R1022
10397,11292,"Atlanta, GA","Denver, CO",1199,0A875,1023,R1023
11292,11697,"Denver, CO","Fort Lauderdale, FL",1703,0A875,1024,R1024
11292,13487,"Denver, CO","Minneapolis, MN",680,0A875,1025,R1025
11292,13891,"Denver, CO","Ontario, CA",819,0A875,1026,R1026
11292,14057,"Denver, CO","Portland, OR",991,0A875,1027,R1027
11292,14747,"Denver, CO","Seattle, WA",1024,0A875,1028,R1028
11292,14831,"Denver, CO","San Jose, CA",948,0A875,1029,R1029
11292,15304,"Denver, CO","Tampa, FL",1506,0A875,1030,R1030
11986,11292,"Grand Rapids, MI","Denver, CO",1015,0A875,1031,R1031
13198,11292,"Kansas City, MO","Denver, CO",533,0A875,1032,R1032
13891,11292,"Ontario, CA","Denver, CO",819,0A875,1033,R1033
14100,11292,"Philadelphia, PA","Denver, CO",1558,0A875,1034,R1034
14122,11292,"Pittsburgh, PA","Denver, CO",1290,0A875,1035,R1035
15016,11292,"St. Louis, MO","Denver, CO",770,0A875,1036,R1036
15304,11292,"Tampa, FL","Denver, CO",1506,0A875,1037,R1037
11292,10529,"Denver, CO","Hartford, CT",1671,6725,1038,R1038
11292,14570,"Denver, CO","Reno, NV",804,6725,1039,R1039
11292,14730,"Denver, CO","Louisville, KY",1024,6725,1040,R1040
11292,14869,"Denver, CO","Salt Lake City, UT",391,6725,1041,R1041
11292,13198,"Denver, CO","Kansas City, MO",533,6003,1042,R1042
10140,11413,"Albuquerque, NM","Durango, CO",160,6299,1043,R1043
11711,11413,"Farmington, NM","Durango, CO",40,6299,1044,R1044
11292,11193,"Denver, CO","Cincinnati, OH",1069,7041,1045,R1045
12094,11292,"Hayden, CO","Denver, CO",141,7041,1046,R1046
14783,11292,"Springfield, MO","Denver, CO",637,7041,1047,R1047
10372,14771,"Aspen, CO","San Francisco, CA",848,6700,1048,R1048
10423,11292,"Austin, TX","Denver, CO",775,6700,1049,R1049
11447,11292,"Devils Lake, ND","Denver, CO",638,6700,1050,R1050
12992,11292,"Little Rock, AR","Denver, CO",771,6700,1051,R1051
13029,11292,"Lincoln, NE","Denver, CO",423,6700,1052,R1052
11292,10529,"Denver, CO","Hartford, CT",1671,0A875,1053,R1053
11292,13871,"Denver, CO","Omaha, NE",472,0A875,1054,R1054
11292,14524,"Denver, CO","Richmond, VA",1482,0A875,1055,R1055
11292,14689,"Denver, CO","Santa Barbara, CA",916,0A875,1056,R1056
11292,14771,"Denver, CO","San Francisco, CA",967,0A875,1057,R1057
11697,11292,"Fort Lauderdale, FL","Denver, CO",1703,0A875,1058,R1058
13487,11292,"Minneapolis, MN","Denver, CO",680,0A875,1059,R1059
13495,11292,"New Orleans, LA","Denver, CO",1062,0A875,1060,R1060
13871,11292,"Omaha, NE","Denver, CO",472,0A875,1061,R1061
14057,11292,"Portland, OR","Denver, CO",991,0A875,1062,R1062
14524,11292,"Richmond, VA","Denver, CO",1482,0A875,1063,R1063
14683,11292,"San Antonio, TX","Denver, CO",794,0A875,1064,R1064
14689,11292,"Santa Barbara, CA","Denver, CO",916,0A875,1065,R1065
11042,11292,"Cleveland, OH","Denver, CO",1201,6725,1066,R1066
11292,11066,"Denver, CO","Columbus, OH",1154,6725,1067,R1067
11292,12953,"Denver, CO","New York, NY",1620,6725,1068,R1068
11292,11066,"Denver, CO","Columbus, OH",1154,6003,1069,R1069
10627,11292,"Bismarck/Mandan, ND","Denver, CO",516,6460,1070,R1070
11292,10627,"Denver, CO","Bismarck/Mandan, ND",516,6460,1071,R1071
10140,11413,"Albuquerque, NM","Durango, CO",160,6200,1072,R1072
11109,13244,"Colorado Springs, CO","Memphis, TN",854,6200,1073,R1073
11711,11413,"Farmington, NM","Durango, CO",40,6200,1074,R1074
12094,11122,"Hayden, CO","Casper, WY",172,6200,1075,R1075
13244,11109,"Memphis, TN","Colorado Springs, CO",854,6200,1076,R1076
11292,14570,"Denver, CO","Reno, NV",804,6910,1077,R1077
11292,12094,"Denver, CO","Hayden, CO",141,7041,1078,R1078
11292,13871,"Denver, CO","Omaha, NE",472,7041,1079,R1079
11292,14457,"Denver, CO","Rapid City, SD",300,7041,1080,R1080
10140,11292,"Albuquerque, NM","Denver, CO",349,6700,1081,R1081
10397,11292,"Atlanta, GA","Denver, CO",1199,6700,1082,R1082
10800,11292,"Burbank, CA","Denver, CO",850,6700,1083,R1083
11193,11292,"Cincinnati, OH","Denver, CO",1069,6700,1084,R1084
11292,10140,"Denver, CO","Albuquerque, NM",349,6700,1085,R1085
11292,11298,"Denver, CO","Dallas/Fort Worth, TX",641,6700,1086,R1086
11292,11638,"Denver, CO","Fresno, CA",844,6700,1087,R1087
11292,14107,"Denver, CO","Phoenix, AZ",602,6700,1088,R1088
11775,11292,"Sioux Falls, SD","Denver, CO",483,6700,1089,R1089
13198,11292,"Kansas City, MO","Denver, CO",533,6700,1090,R1090
13264,11292,"Medford, OR","Denver, CO",964,6700,1091,R1091
14698,11292,"San Luis Obispo, CA","Denver, CO",931,6700,1092,R1092
14771,10372,"San Francisco, CA","Aspen, CO",848,6700,1093,R1093
10713,11292,"Boise, ID","Denver, CO",649,0A875,1094,R1094
11292,10713,"Denver, CO","Boise, ID",649,0A875,1095,R1095
11292,12441,"Denver, CO","Jackson, WY",406,0A875,1096,R1096
13851,11292,"Oklahoma City, OK","Denver, CO",495,0A875,1097,R1097
13851,11292,"Oklahoma City, OK","Denver, CO",495,0A875,1098,R1098
14100,11292,"Philadelphia, PA","Denver, CO",1558,0A875,1099,R1099
14107,11292,"Phoenix, AZ","Denver, CO",602,0A875,1100,R1100
14771,11292,"San Francisco, CA","Denver, CO",967,0A875,1101,R1101
10994,11292,"Charleston, SC","Denver, CO",1449,6725,1102,R1102
11292,10713,"Denver, CO","Boise, ID",649,6725,1103,R1103
11292,10994,"Denver, CO","Charleston, SC",1449,6725,1104,R1104
11433,11292,"Detroit, MI","Denver, CO",1123,6725,1105,R1105
14730,11292,"Louisville, KY","Denver, CO",1024,6725,1106,R1106
15376,11292,"Tucson, AZ","Denver, CO",639,6725,1107,R1107
11066,11292,"Columbus, OH","Denver, CO",1154,6003,1108,R1108
13158,11292,"Midland/Odessa, TX","Denver, CO",563,6003,1109,R1109
11292,15412,"Denver, CO","Knoxville, TN",1162,6904,1110,R1110
15412,11292,"Knoxville, TN","Denver, CO",1162,6904,1111,R1111
12266,13502,"Houston, TX","Montrose/Delta, CO",927,6085,1112,R1112
13502,12266,"Montrose/Delta, CO","Houston, TX",927,6085,1113,R1113
11193,11292,"Cincinnati, OH","Denver, CO",1069,1260,1114,R1114
11292,11193,"Denver, CO","Cincinnati, OH",1069,1260,1115,R1115
11292,14783,"Denver, CO","Springfield, MO",637,7041,1116,R1116
12278,11292,"Wichita, KS","Denver, CO",420,7041,1117,R1117
10800,11292,"Burbank, CA","Denver, CO",850,6700,1118,R1118
11292,14698,"Denver, CO","San Luis Obispo, CA",931,6700,1119,R1119
12266,10372,"Houston, TX","Aspen, CO",913,6700,1120,R1120
15370,11292,"Tulsa, OK","Denver, CO",541,6700,1121,R1121
10713,11292,"Boise, ID","Denver, CO",649,0A875,1122,R1122
11292,10423,"Denver, CO","Austin, TX",775,0A875,1123,R1123
11292,10423,"Denver, CO","Austin, TX",775,0A875,1124,R1124
11292,11298,"Denver, CO","Dallas/Fort Worth, TX",641,0A875,1125,R1125
11292,11697,"Denver, CO","Fort Lauderdale, FL",1703,0A875,1126,R1126
11292,12278,"Denver, CO","Wichita, KS",420,0A875,1127,R1127
11292,12758,"Denver, CO","Kona, HI",3329,0A875,1128,R1128
11292,13830,"Denver, CO","Kahului, HI",3302,0A875,1129,R1129
11292,15304,"Denver, CO","Tampa, FL",1506,0A875,1130,R1130
11697,11292,"Fort Lauderdale, FL","Denver, CO",1703,0A875,1131,R1131
12278,11292,"Wichita, KS","Denver, CO",420,0A875,1132,R1132
12441,11292,"Jackson, WY","Denver, CO",406,0A875,1133,R1133
12758,11292,"Kona, HI","Denver, CO",3329,0A875,1134,R1134
13830,11292,"Kahului, HI","Denver, CO",3302,0A875,1135,R1135
15370,11292,"Tulsa, OK","Denver, CO",541,0A875,1136,R1136
10713,11292,"Boise, ID","Denver, CO",649,6725,1137,R1137
11292,12451,"Denver, CO","Jacksonville, FL",1447,6725,1138,R1138
12451,11292,"Jacksonville, FL","Denver, CO",1447,6725,1139,R1139
13891,11292,"Ontario, CA","Denver, CO",819,6725,1140,R1140
14831,11292,"San Jose, CA","Denver, CO",948,6725,1141,R1141
10423,11292,"Austin, TX","Denver, CO",775,6003,1142,R1142
11292,13158,"Denver, CO","Midland/Odessa, TX",563,6003,1143,R1143
14730,11292,"Louisville, KY","Denver, CO",1024,6003,1144,R1144
15370,11292,"Tulsa, OK","Denver, CO",541,6003,1145,R1145
11292,11775,"Denver, CO","Sioux Falls, SD",483,6460,1146,R1146
11775,11292,"Sioux Falls, SD","Denver, CO",483,6460,1147,R1147
11122,12094,"Casper, WY","Hayden, CO",172,6200,1148,R1148
11109,12266,"Colorado Springs, CO","Houston, TX",809,6085,1149,R1149
11292,10950,"Denver, CO","Cortez, CO",277,1177,1150,R1150
11193,11292,"Cincinnati, OH","Denver, CO",1069,7041,1151,R1151
11292,13264,"Denver, CO","Medford, OR",964,6700,1152,R1152
14262,11292,"Palm Springs, CA","Denver, CO",776,6700,1153,R1153
10721,11292,"Boston, MA","Denver, CO",1754,0A875,1154,R1154
11057,11292,"Charlotte, NC","Denver, CO",1337,0A875,1155,R1155
11292,10397,"Denver, CO","Atlanta, GA",1199,0A875,1156,R1156
11292,10713,"Denver, CO","Boise, ID",649,0A875,1157,R1157
11292,11057,"Denver, CO","Charlotte, NC",1337,0A875,1158,R1158
11292,14771,"Denver, CO","San Francisco, CA",967,0A875,1159,R1159
11298,11292,"Dallas/Fort Worth, TX","Denver, CO",641,0A875,1160,R1160
13487,11292,"Minneapolis, MN","Denver, CO",680,0A875,1161,R1161
14893,11292,"Sacramento, CA","Denver, CO",909,0A875,1162,R1162
11259,11292,"Dallas, TX","Denver, CO",651,6725,1163,R1163
14893,11292,"Sacramento, CA","Denver, CO",909,6725,1164,R1164
11292,13851,"Denver, CO","Oklahoma City, OK",495,6003,1165,R1165
11292,14869,"Denver, CO","Salt Lake City, UT",391,6460,1166,R1166
11292,15016,"Denver, CO","St. Louis, MO",770,6460,1167,R1167
12889,11109,"Las Vegas, NV","Colorado Springs, CO",604,6460,1168,R1168
14869,11292,"Salt Lake City, UT","Denver, CO",391,6460,1169,R1169
15016,11292,"St. Louis, MO","Denver, CO",770,6460,1170,R1170
11413,10140,"Durango, CO","Albuquerque, NM",160,6299,1171,R1171
13244,11292,"Memphis, TN","Denver, CO",872,7041,1172,R1172
13851,11292,"Oklahoma City, OK","Denver, CO",495,7041,1173,R1173
10372,12266,"Aspen, CO","Houston, TX",913,6700,1174,R1174
10693,11292,"Nashville, TN","Denver, CO",1014,6700,1175,R1175
11292,10599,"Denver, CO","Birmingham, AL",1083,6700,1176,R1176
11292,11775,"Denver, CO","Sioux Falls, SD",483,6700,1177,R1177
11292,14262,"Denver, CO","Palm Springs, CA",776,6700,1178,R1178
11292,14814,"Denver, CO","Shreveport, LA",792,6700,1179,R1179
11423,11292,"Des Moines, IA","Denver, CO",589,6700,1180,R1180
12389,11292,"Williston, ND","Denver, CO",576,6700,1181,R1181
13871,11292,"Omaha, NE","Denver, CO",472,6700,1182,R1182
14814,11292,"Shreveport, LA","Denver, CO",792,6700,1183,R1183
11292,15370,"Denver, CO","Tulsa, OK",541,0A875,1184,R1184
14107,11292,"Phoenix, AZ","Denver, CO",602,0A875,1185,R1185
14831,11292,"San Jose, CA","Denver, CO",948,0A875,1186,R1186
10423,11292,"Austin, TX","Denver, CO",775,6725,1187,R1187
11292,14100,"Denver, CO","Philadelphia, PA",1558,6725,1188,R1188
11292,14122,"Denver, CO","Pittsburgh, PA",1290,6725,1189,R1189
11697,11292,"Fort Lauderdale, FL","Denver, CO",1703,6725,1190,R1190
11884,11292,"Spokane, WA","Denver, CO",836,6725,1191,R1191
11109,12889,"Colorado Springs, CO","Las Vegas, NV",604,6460,1192,R1192
11292,12339,"Denver, CO","Indianapolis, IN",977,6460,1193,R1193
11292,12889,"Denver, CO","Las Vegas, NV",628,6460,1194,R1194
12339,11292,"Indianapolis, IN","Denver, CO",977,6460,1195,R1195
12889,11292,"Las Vegas, NV","Denver, CO",628,6460,1196,R1196
11413,10140,"Durango, CO","Albuquerque, NM",160,6200,1197,R1197
11292,13487,"Denver, CO","Minneapolis, MN",680,6795,1198,R1198
13487,11292,"Minneapolis, MN","Denver, CO",680,6795,1199,R1199
11292,13198,"Denver, CO","Kansas City, MO",533,6904,1200,R1200
11292,13502,"Denver, CO","Montrose/Delta, CO",196,6904,1201,R1201
13502,11292,"Montrose/Delta, CO","Denver, CO",196,6904,1202,R1202
10140,10272,"Albuquerque, NM","Alamosa, CO",170,1177,1203,R1203
10272,10140,"Alamosa, CO","Albuquerque, NM",170,1177,1204,R1204
10950,11292,"Cortez, CO","Denver, CO",277,1177,1205,R1205
11292,13198,"Denver, CO","Kansas City, MO",533,7041,1206,R1206
11292,13486,"Denver, CO","Missoula, MT",679,7041,1207,R1207
13871,11292,"Omaha, NE","Denver, CO",472,7041,1208,R1208
10693,11292,"Nashville, TN","Denver, CO",1014,6700,1209,R1209
11292,10693,"Denver, CO","Nashville, TN",1014,6700,1210,R1210
11292,12389,"Denver, CO","Williston, ND",576,6700,1211,R1211
11292,13029,"Denver, CO","Lincoln, NE",423,6700,1212,R1212
11292,13871,"Denver, CO","Omaha, NE",472,6700,1213,R1213
12892,11109,"Los Angeles, CA","Colorado Springs, CO",834,6700,1214,R1214
11292,10821,"Denver, CO","Baltimore, MD",1491,0A875,1215,R1215
11292,14107,"Denver, CO","Phoenix, AZ",602,0A875,1216,R1216
11292,14683,"Denver, CO","San Antonio, TX",794,0A875,1217,R1217
11292,14893,"Denver, CO","Sacramento, CA",909,0A875,1218,R1218
14107,11292,"Phoenix, AZ","Denver, CO",602,0A875,1219,R1219
14683,11292,"San Antonio, TX","Denver, CO",794,0A875,1220,R1220
