11109,12278,"Colorado Springs, CO","Wichita, KS",403,0A050,125,R125
11292,10721,"Denver, CO","Boston, MA",1754,0A050,126,R126
11292,12892,"Denver, CO","Los Angeles, CA",862,0A050,127,R127
11292,12992,"Denver, CO","Little Rock, AR",771,0A050,128,R128
13204,11292,"Orlando, FL","Denver, CO",1546,0A050,129,R129
13930,11109,"Chicago, IL","Colorado Springs, CO",911,0A050,130,R130
14492,11292,"Raleigh/Durham, NC","Denver, CO",1436,0A050,131,R131
14771,11292,"San Francisco, CA","Denver, CO",967,0A050,132,R132
14869,11109,"Salt Lake City, UT","Colorado Springs, CO",411,0A050,133,R133
11292,12892,"Denver, CO","Los Angeles, CA",862,1260,134,R134
11292,13487,"Denver, CO","Minneapolis, MN",680,1260,135,R135
11292,13487,"Denver, CO","Minneapolis, MN",680,1260,136,R136
11292,14869,"Denver, CO","Salt Lake City, UT",391,1260,137,R137
11433,11292,"Detroit, MI","Denver, CO",1123,1260,138,R138
13487,11292,"Minneapolis, MN","Denver, CO",680,1260,139,R139
13487,11292,"Minneapolis, MN","Denver, CO",680,1260,140,R140
11292,15370,"Denver, CO","Tulsa, OK",541,7041,141,R141
11986,11292,"Grand Rapids, MI","Denver, CO",1015,7041,142,R142
11097,11292,"Cody, WY","Denver, CO",391,6700,143,R143
11109,12992,"Colorado Springs, CO","Little Rock, AR",746,6700,144,R144
11109,13486,"Colorado Springs, CO","Missoula, MT",734,6700,145,R145
11109,15376,"Colorado Springs, CO","Tucson, AZ",580,6700,146,R146
11122,11292,"Casper, WY","Denver, CO",230,6700,147,R147
11278,11109,"Washington, DC","Colorado Springs, CO",1487,6700,148,R148
11292,10140,"Denver, CO","Albuquerque, NM",349,6700,149,R149
11292,10397,"Denver, CO","Atlanta, GA",1199,6700,150,R150
11292,10423,"Denver, CO","Austin, TX",775,6700,151,R151
11292,11003,"Denver, CO","Cedar Rapids/Iowa City, IA",692,6700,152,R152
11292,11097,"Denver, CO","Cody, WY",391,6700,153,R153
11292,11122,"Denver, CO","Casper, WY",230,6700,154,R154
11292,11298,"Denver, CO","Dallas/Fort Worth, TX",641,6700,155,R155
11292,11986,"Denver, CO","Grand Rapids, MI",1015,6700,156,R156
11292,12266,"Denver, CO","Houston, TX",862,6700,157,R157
11292,12441,"Denver, CO","Jackson, WY",406,6700,158,R158
11292,12992,"Denver, CO","Little Rock, AR",771,6700,159,R159
11292,13264,"Denver, CO","Medford, OR",964,6700,160,R160
11292,13871,"Denver, CO","Omaha, NE",472,6700,161,R161
11292,13930,"Denver, CO","Chicago, IL",888,6700,162,R162
11292,14489,"Denver, CO","Bend/Redmond, OR",898,6700,163,R163
11292,14679,"Denver, CO","San Diego, CA",853,6700,164,R164
11292,14730,"Denver, CO","Louisville, KY",1024,6700,165,R165
11292,14771,"Denver, CO","San Francisco, CA",967,6700,166,R166
