Payload,Seats,Ramp_To_Ramp,Air_Time,Passengers,Freight,Mail,Origin,Dest,Aircraft_Type,Aircraft_Config,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,Origin_City_Name,Dest_City_Name,Origin_State_Abr,Dest_State_Abr,CLASS,DISTANCE,DISTANCE_GROUP,DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,Year,Quarter,Month
263688,1024,999,854,972,393,1614,AUS,DEN,698,1,United Air Lines Inc.,0A875,"Austin, TX","Denver, CO",TX,CO,F,775,2,8,8,2017,2,6
282418,1024,957,822,642,24,1027,DEN,AUS,698,1,United Air Lines Inc.,0A875,"Denver, CO","Austin, TX",CO,TX,F,775,2,8,8,2017,2,6
284532,1200,1777,1538,1038,500,9731,DEN,BDL,694,1,United Air Lines Inc.,0A875,"Denver, CO","Hartford, CT",CO,CT,F,1671,4,8,8,2017,2,6
286022,1200,1366,1149,1017,1089,9567,DEN,DTW,694,1,United Air Lines Inc.,0A875,"Denver, CO","Detroit, MI",CO,MI,F,1123,3,8,8,2017,2,6
320716,1328,1881,1695,1240,47,0,DEN,FLL,614,1,United Air Lines Inc.,0A875,"Denver, CO","Fort Lauderdale, FL",CO,FL,F,1703,4,8,8,2017,2,6
278722,1024,1696,1542,945,62,0,DEN,LGA,698,1,United Air Lines Inc.,0A875,"Denver, CO","New York, NY",CO,NY,F,1620,4,8,8,2017,2,6
272353,1200,922,791,1016,24,0,DEN,MSN,694,1,United Air Lines Inc.,0A875,"Denver, CO","Madison, WI",CO,WI,F,826,2,8,8,2017,2,6
374632,1420,882,731,1072,4189,4546,DEN,MSP,634,1,United Air Lines Inc.,0A875,"Denver, CO","Minneapolis, MN",CO,MN,F,680,2,8,8,2017,2,6
347727,1432,1313,1118,1323,55,4840,DEN,SEA,634,1,United Air Lines Inc.,0A875,"Denver, CO","Seattle, WA",CO,WA,F,1024,3,8,8,2017,2,6
286781,1200,740,593,922,8,0,DEN,TUL,694,1,United Air Lines Inc.,0A875,"Denver, CO","Tulsa, OK",CO,OK,F,541,2,8,8,2017,2,6
287522,1024,1155,1000,812,0,0,EUG,DEN,698,1,United Air Lines Inc.,0A875,"Eugene, OR","Denver, CO",OR,CO,F,996,2,8,8,2017,2,6
284735,1200,1283,1143,1170,458,1102,MSY,DEN,694,1,United Air Lines Inc.,0A875,"New Orleans, LA","Denver, CO",LA,CO,F,1062,3,8,8,2017,2,6
374573,1432,668,474,1232,305,7313,SLC,DEN,634,1,United Air Lines Inc.,0A875,"Salt Lake City, UT","Denver, CO",UT,CO,F,391,1,8,8,2017,2,6
347200,1400,1097,955,1209,1918,0,DEN,GEG,614,1,Southwest Airlines Co.,6725,"Denver, CO","Spokane, WA",CO,WA,F,836,2,8,8,2017,2,6
257600,1138,1123,968,1010,817,0,DEN,HOU,619,1,Southwest Airlines Co.,6725,"Denver, CO","Houston, TX",CO,TX,F,883,2,8,8,2017,2,6
257600,1144,1178,924,1105,1092,0,DEN,LAX,619,1,Southwest Airlines Co.,6725,"Denver, CO","Los Angeles, CA",CO,CA,F,862,2,8,8,2017,2,6
257600,1144,703,559,986,1610,0,DEN,OKC,619,1,Southwest Airlines Co.,6725,"Denver, CO","Oklahoma City, OK",CO,OK,F,495,1,8,8,2017,2,6
257600,1144,899,704,1099,1273,0,DEN,PHX,619,1,Southwest Airlines Co.,6725,"Denver, CO","Phoenix, AZ",CO,AZ,F,602,2,8,8,2017,2,6
257600,1144,1252,1063,1062,2813,0,DEN,SFO,619,1,Southwest Airlines Co.,6725,"Denver, CO","San Francisco, CA",CO,CA,F,967,2,8,8,2017,2,6
257600,1144,843,689,1048,208,0,LAS,DEN,619,1,Southwest Airlines Co.,6725,"Las Vegas, NV","Denver, CO",NV,CO,F,628,2,8,8,2017,2,6
257600,1144,849,670,1056,284,0,MCI,DEN,619,1,Southwest Airlines Co.,6725,"Kansas City, MO","Denver, CO",MO,CO,F,533,2,8,8,2017,2,6
347200,1400,1721,1567,1313,1163,0,RDU,DEN,614,1,Southwest Airlines Co.,6725,"Raleigh/Durham, NC","Denver, CO",NC,CO,F,1436,3,8,8,2017,2,6
152736,560,1361,1096,525,0,0,BNA,DEN,677,1,Republic Airlines,6003,"Nashville, TN","Denver, CO",TN,CO,F,1014,3,8,8,2017,2,6
240000,1200,1351,1146,917,0,0,COS,SFO,698,1,Frontier Airlines Inc.,6460,"Colorado Springs, CO","San Francisco, CA",CO,CA,F,964,2,8,8,2017,2,6
240000,1200,1137,933,905,0,0,SFO,COS,698,1,Frontier Airlines Inc.,6460,"San Francisco, CA","Colorado Springs, CO",CA,CO,F,964,2,8,8,2017,2,6
1552063,0,1240,1011,0,147267,0,DEN,OAK,740,2,Federal Express Corporation,6200,"Denver, CO","Oakland, CA",CO,CA,G,957,2,8,8,2017,2,6
88944,400,508,315,371,0,0,DEN,GUC,675,1,Trans States Airlines,6904,"Denver, CO","Gunnison, CO",CO,CO,F,152,1,8,8,2017,2,6
88944,400,476,290,245,0,0,GUC,DEN,675,1,Trans States Airlines,6904,"Gunnison, CO","Denver, CO",CO,CO,F,152,1,8,8,2017,2,6
88944,400,456,248,344,0,0,HDN,DEN,675,1,Trans States Airlines,6904,"Hayden, CO","Denver, CO",CO,CO,F,141,1,8,8,2017,2,6
909000,1404,918,702,1299,0,0,AZA,COS,698,1,Allegiant Air,6035,"Phoenix, AZ","Colorado Springs, CO",AZ,CO,F,543,2,9,9,2017,2,6
909000,1404,924,696,1257,0,0,COS,AZA,698,1,Allegiant Air,6035,"Colorado Springs, CO","Phoenix, AZ",CO,AZ,F,543,2,9,9,2017,2,6
360000,1494,1038,786,1268,0,0,COS,LAS,655,1,Allegiant Air,6035,"Colorado Springs, CO","Las Vegas, NV",CO,NV,F,604,2,9,9,2017,2,6
909000,1404,1092,852,1267,0,0,GJT,LAX,698,1,Allegiant Air,6035,"Grand Junction, CO","Los Angeles, CA",CO,CA,F,655,2,9,9,2017,2,6
360000,1494,942,738,1272,0,0,LAS,COS,655,1,Allegiant Air,6035,"Las Vegas, NV","Colorado Springs, CO",NV,CO,F,604,2,9,9,2017,2,6
909000,1404,1032,804,1184,0,0,LAX,GJT,698,1,Allegiant Air,6035,"Los Angeles, CA","Grand Junction, CO",CA,CO,F,655,2,9,9,2017,2,6
67500,450,1086,942,308,0,0,BKG,DEN,675,1,Via Airlines d/b/a Charter Air Transport,1158,"Branson, MO","Denver, CO",MO,CO,F,665,2,9,9,2017,2,6
90000,450,930,768,344,0,0,DEN,BKG,675,1,Via Airlines d/b/a Charter Air Transport,1158,"Denver, CO","Branson, MO",CO,MO,F,665,2,9,9,2017,2,6
118000,450,1073,842,356,0,0,DEN,CID,629,1,SkyWest Airlines Inc.,6700,"Denver, CO","Cedar Rapids/Iowa City, IA",CO,IA,F,692,2,9,9,2017,2,6
136800,684,1213,981,651,0,0,DEN,FCA,673,1,SkyWest Airlines Inc.,6700,"Denver, CO","Kalispell, MT",CO,MT,F,752,2,9,9,2017,2,6
121500,450,854,659,409,0,0,DEN,OKC,629,1,SkyWest Airlines Inc.,6700,"Denver, CO","Oklahoma City, OK",CO,OK,F,495,1,9,9,2017,2,6
168660,630,833,624,549,0,0,DEN,OKC,631,1,SkyWest Airlines Inc.,6700,"Denver, CO","Oklahoma City, OK",CO,OK,F,495,1,9,9,2017,2,6
136800,684,1155,944,570,0,0,FCA,DEN,673,1,SkyWest Airlines Inc.,6700,"Kalispell, MT","Denver, CO",MT,CO,F,752,2,9,9,2017,2,6
168660,630,551,363,486,0,0,GJT,DEN,631,1,SkyWest Airlines Inc.,6700,"Grand Junction, CO","Denver, CO",CO,CO,F,212,1,9,9,2017,2,6
136800,684,1408,1178,630,0,0,MFR,DEN,673,1,SkyWest Airlines Inc.,6700,"Medford, OR","Denver, CO",OR,CO,F,964,2,9,9,2017,2,6
310348,1350,2143,1909,1215,38,3161,BWI,DEN,694,1,United Air Lines Inc.,0A875,"Baltimore, MD","Denver, CO",MD,CO,F,1491,3,9,9,2017,2,6
328654,1350,1247,1067,1254,404,2685,DEN,IND,694,1,United Air Lines Inc.,0A875,"Denver, CO","Indianapolis, IN",CO,IN,F,977,2,9,9,2017,2,6
366721,1494,1327,1173,1266,81,9963,DEN,PDX,614,1,United Air Lines Inc.,0A875,"Denver, CO","Portland, OR",CO,OR,F,991,2,9,9,2017,2,6
330697,1350,1583,1339,1185,679,11574,DTW,DEN,694,1,United Air Lines Inc.,0A875,"Detroit, MI","Denver, CO",MI,CO,F,1123,3,9,9,2017,2,6
325299,1350,1227,1068,1144,3,0,EUG,DEN,694,1,United Air Lines Inc.,0A875,"Eugene, OR","Denver, CO",OR,CO,F,996,2,9,9,2017,2,6
306134,1350,1371,1228,1259,395,10049,IND,DEN,694,1,United Air Lines Inc.,0A875,"Indianapolis, IN","Denver, CO",IN,CO,F,977,2,9,9,2017,2,6
314071,1350,1267,1076,1183,224,0,MSN,DEN,694,1,United Air Lines Inc.,0A875,"Madison, WI","Denver, CO",WI,CO,F,826,2,9,9,2017,2,6
289800,1287,1546,1340,1056,882,0,DEN,ATL,619,1,Southwest Airlines Co.,6725,"Denver, CO","Atlanta, GA",CO,GA,F,1199,3,9,9,2017,2,6
390600,1575,1846,1684,1296,8211,0,DEN,BDL,614,1,Southwest Airlines Co.,6725,"Denver, CO","Hartford, CT",CO,CT,F,1671,4,9,9,2017,2,6
390600,1575,1363,1227,1501,2897,0,IND,DEN,614,1,Southwest Airlines Co.,6725,"Indianapolis, IN","Denver, CO",IN,CO,F,977,2,9,9,2017,2,6
390600,1575,1036,876,1369,3031,0,MSP,DEN,614,1,Southwest Airlines Co.,6725,"Minneapolis, MN","Denver, CO",MN,CO,F,680,2,9,9,2017,2,6
289800,1287,1224,1041,1151,219,0,SAT,DEN,619,1,Southwest Airlines Co.,6725,"San Antonio, TX","Denver, CO",TX,CO,F,794,2,9,9,2017,2,6
270000,1350,1846,1593,1275,0,0,DEN,DCA,698,1,Frontier Airlines Inc.,6460,"Denver, CO","Washington, DC",CO,VA,F,1476,3,9,9,2017,2,6
746460,0,1422,1259,0,297183,13732,SDF,DEN,622,2,United Parcel Service,6910,"Louisville, KY","Denver, CO",KY,CO,G,1024,3,9,9,2017,2,6
152000,760,2014,1699,724,0,0,CMH,DEN,673,1,SkyWest Airlines Inc.,6700,"Columbus, OH","Denver, CO",OH,CO,F,1154,3,10,10,2017,2,6
135000,500,1535,1252,444,0,0,DEN,BUR,629,1,SkyWest Airlines Inc.,6700,"Denver, CO","Burbank, CA",CO,CA,F,850,2,10,10,2017,2,6
152000,760,1742,1482,690,0,0,DEN,CMH,673,1,SkyWest Airlines Inc.,6700,"Denver, CO","Columbus, OH",CO,OH,F,1154,3,10,10,2017,2,6
152000,760,1249,991,667,0,0,DEN,TUS,673,1,SkyWest Airlines Inc.,6700,"Denver, CO","Tucson, AZ",CO,AZ,F,639,2,10,10,2017,2,6
135000,500,1404,1176,486,0,0,STL,DEN,629,1,SkyWest Airlines Inc.,6700,"St. Louis, MO","Denver, CO",MO,CO,F,770,2,10,10,2017,2,6
364649,1500,2439,2224,1341,178,5254,BDL,DEN,694,1,United Air Lines Inc.,0A875,"Hartford, CT","Denver, CO",CT,CO,F,1671,4,10,10,2017,2,6
363084,1500,2046,1727,1358,509,8159,DEN,BWI,694,1,United Air Lines Inc.,0A875,"Denver, CO","Baltimore, MD",CO,MD,F,1491,3,10,10,2017,2,6
358429,1500,948,723,1248,1925,0,DEN,DSM,694,1,United Air Lines Inc.,0A875,"Denver, CO","Des Moines, IA",CO,IA,F,589,2,10,10,2017,2,6
399617,1648,892,688,1089,56,0,DEN,FSD,614,1,United Air Lines Inc.,0A875,"Denver, CO","Sioux Falls, SD",CO,SD,F,483,1,10,10,2017,2,6
316431,1280,1243,1050,1073,131,0,DEN,PSP,698,1,United Air Lines Inc.,0A875,"Denver, CO","Palm Springs, CA",CO,CA,F,776,2,10,10,2017,2,6
330439,1500,1057,856,1261,110,0,DSM,DEN,694,1,United Air Lines Inc.,0A875,"Des Moines, IA","Denver, CO",IA,CO,F,589,2,10,10,2017,2,6
362195,1500,2229,1971,1472,501,5817,IAD,DEN,694,1,United Air Lines Inc.,0A875,"Washington, DC","Denver, CO",VA,CO,F,1452,3,10,10,2017,2,6
433068,1790,1608,1403,1663,259,1960,MSY,DEN,634,1,United Air Lines Inc.,0A875,"New Orleans, LA","Denver, CO",LA,CO,F,1062,3,10,10,2017,2,6
438317,1790,1233,1031,1618,255,0,ONT,DEN,634,1,United Air Lines Inc.,0A875,"Ontario, CA","Denver, CO",CA,CO,F,819,2,10,10,2017,2,6
349081,1280,1203,1008,916,0,0,PSP,DEN,698,1,United Air Lines Inc.,0A875,"Palm Springs, CA","Denver, CO",CA,CO,F,776,2,10,10,2017,2,6
346000,1430,1576,1408,1332,3391,0,DEN,CLE,612,1,Southwest Airlines Co.,6725,"Denver, CO","Cleveland, OH",CO,OH,F,1201,3,10,10,2017,2,6
322000,1430,1066,888,1178,321,0,DEN,LAS,619,1,Southwest Airlines Co.,6725,"Denver, CO","Las Vegas, NV",CO,NV,F,628,2,10,10,2017,2,6
434000,1750,1049,885,1691,1259,0,DEN,MSP,614,1,Southwest Airlines Co.,6725,"Denver, CO","Minneapolis, MN",CO,MN,F,680,2,10,10,2017,2,6
380600,1573,1534,1336,1359,2736,0,DEN,SDF,612,1,Southwest Airlines Co.,6725,"Denver, CO","Louisville, KY",CO,KY,F,1024,3,10,11,2017,2,6
322000,1430,912,737,1336,1541,0,OKC,DEN,619,1,Southwest Airlines Co.,6725,"Oklahoma City, OK","Denver, CO",OK,CO,F,495,1,10,10,2017,2,6
346000,1430,1610,1450,1329,2418,0,SDF,DEN,612,1,Southwest Airlines Co.,6725,"Louisville, KY","Denver, CO",KY,CO,F,1024,3,10,10,2017,2,6
322000,1430,1475,1225,1366,5484,0,SFO,DEN,619,1,Southwest Airlines Co.,6725,"San Francisco, CA","Denver, CO",CA,CO,F,967,2,10,10,2017,2,6
190920,700,1452,1161,670,0,0,IAH,COS,677,1,Republic Airlines,6003,"Houston, TX","Colorado Springs, CO",TX,CO,F,809,2,10,10,2017,2,6
300000,1500,2283,1999,1287,0,0,DCA,DEN,698,1,Frontier Airlines Inc.,6460,"Washington, DC","Denver, CO",VA,CO,F,1476,3,10,10,2017,2,6
300000,1500,999,769,1366,0,0,DEN,DSM,698,1,Frontier Airlines Inc.,6460,"Denver, CO","Des Moines, IA",CO,IA,F,589,2,10,10,2017,2,6
300000,1500,1057,835,1436,0,0,DSM,DEN,698,1,Frontier Airlines Inc.,6460,"Des Moines, IA","Denver, CO",IA,CO,F,589,2,10,10,2017,2,6
1057707,0,2182,1882,0,247774,0,DEN,MEM,691,2,Federal Express Corporation,6200,"Denver, CO","Memphis, TN",CO,TN,G,872,2,10,10,2017,2,6
1253301,0,1438,1179,0,932323,0,MEM,DEN,626,2,Federal Express Corporation,6200,"Memphis, TN","Denver, CO",TN,CO,G,872,2,10,10,2017,2,6
111180,500,1003,758,403,0,0,DEN,TUL,675,1,Trans States Airlines,6904,"Denver, CO","Tulsa, OK",CO,OK,F,541,2,10,10,2017,2,6
111180,500,1056,852,422,0,0,TUL,DEN,675,1,Trans States Airlines,6904,"Tulsa, OK","Denver, CO",OK,CO,F,541,2,10,10,2017,2,6
4500,19,73,60,13,0,0,DEN,TEX,405,1,Great Lakes Airlines,6932,"Denver, CO","Telluride, CO",CO,CO,F,218,1,10,1,2017,2,6
4500,19,66,52,11,0,0,TEX,DEN,405,1,Great Lakes Airlines,6932,"Telluride, CO","Denver, CO",CO,CO,F,218,1,10,1,2017,2,6
16000,80,946,831,77,0,0,CEZ,PHX,479,1,Boutique Air,1177,"Cortez, CO","Phoenix, AZ",CO,AZ,F,328,1,10,10,2017,2,6
14400,72,820,718,64,0,0,PHX,CEZ,479,1,Boutique Air,1177,"Phoenix, AZ","Cortez, CO",AZ,CO,F,328,1,10,9,2017,2,6
378906,1452,2481,2190,1341,1607,0,DEN,LGA,698,1,Delta Air Lines Inc.,1260,"Denver, CO","New York, NY",CO,NY,F,1620,4,11,11,2017,2,6
148500,550,1065,854,477,0,0,OKC,DEN,629,1,SkyWest Airlines Inc.,6700,"Oklahoma City, OK","Denver, CO",OK,CO,F,495,1,11,11,2017,2,6
439369,1826,2505,2261,1750,78,3181,BWI,DEN,614,1,United Air Lines Inc.,0A875,"Baltimore, MD","Denver, CO",MD,CO,F,1491,3,11,11,2017,2,6
400501,1650,1764,1491,1180,147,0,DEN,EUG,694,1,United Air Lines Inc.,0A875,"Denver, CO","Eugene, OR",CO,OR,F,996,2,11,11,2017,2,6
394420,1650,2082,1848,1532,384,1871,DEN,IAD,694,1,United Air Lines Inc.,0A875,"Denver, CO","Washington, DC",CO,VA,F,1452,3,11,11,2017,2,6
399135,1660,1497,1304,1609,763,3248,DEN,MSY,614,1,United Air Lines Inc.,0A875,"Denver, CO","New Orleans, LA",CO,LA,F,1062,3,11,10,2017,2,6
505928,1957,955,680,1689,0,6198,DEN,OMA,634,1,United Air Lines Inc.,0A875,"Denver, CO","Omaha, NE",CO,NE,F,472,1,11,11,2017,2,6
471648,1969,1415,1186,1761,351,0,DEN,ONT,634,1,United Air Lines Inc.,0A875,"Denver, CO","Ontario, CA",CO,CA,F,819,2,11,11,2017,2,6
457245,1814,1605,1388,1619,1621,11123,DEN,SMF,614,1,United Air Lines Inc.,0A875,"Denver, CO","Sacramento, CA",CO,CA,F,909,2,11,11,2017,2,6
453758,1814,1039,768,1216,318,0,FSD,DEN,614,1,United Air Lines Inc.,0A875,"Sioux Falls, SD","Denver, CO",SD,CO,F,483,1,11,11,2017,2,6
477400,1925,2060,1860,1806,2751,0,DEN,IAD,614,1,Southwest Airlines Co.,6725,"Denver, CO","Washington, DC",CO,VA,F,1452,3,11,11,2017,2,6
354200,1573,1537,1274,1499,9031,0,LAX,DEN,619,1,Southwest Airlines Co.,6725,"Los Angeles, CA","Denver, CO",CA,CO,F,862,2,11,11,2017,2,6
477400,1925,1096,892,1838,88,0,MCI,DEN,614,1,Southwest Airlines Co.,6725,"Kansas City, MO","Denver, CO",MO,CO,F,533,2,11,11,2017,2,6
354200,1573,1066,900,1517,1139,0,PHX,DEN,619,1,Southwest Airlines Co.,6725,"Phoenix, AZ","Denver, CO",AZ,CO,F,602,2,11,11,2017,2,6
330000,1650,1572,1308,1388,0,0,COS,LAX,698,1,Frontier Airlines Inc.,6460,"Colorado Springs, CO","Los Angeles, CA",CO,CA,F,834,2,11,11,2017,2,6
330000,1650,1429,1156,1401,0,0,LAX,COS,698,1,Frontier Airlines Inc.,6460,"Los Angeles, CA","Colorado Springs, CO",CA,CO,F,834,2,11,11,2017,2,6
122298,550,1742,1447,503,0,0,DEN,GRR,675,1,Trans States Airlines,6904,"Denver, CO","Grand Rapids, MI",CO,MI,F,1015,3,11,11,2017,2,6
486200,1950,2982,2629,1704,0,0,DEN,JFK,694,1,JetBlue Airways,6673,"Denver, CO","New York, NY",CO,NY,F,1626,4,12,13,2017,2,6
486200,1950,3498,3020,1770,0,0,JFK,DEN,694,1,JetBlue Airways,6673,"New York, NY","Denver, CO",NY,CO,F,1626,4,12,13,2017,2,6
211320,840,1496,1229,776,0,0,DEN,SAT,631,1,GoJet Airlines LLC d/b/a United Express,7041,"Denver, CO","San Antonio, TX",CO,TX,F,794,2,12,12,2017,2,6
211320,840,1709,1440,761,0,0,SAT,DEN,631,1,GoJet Airlines LLC d/b/a United Express,7041,"San Antonio, TX","Denver, CO",TX,CO,F,794,2,12,12,2017,2,6
158500,600,2006,1761,528,0,0,DEN,EUG,629,1,SkyWest Airlines Inc.,6700,"Denver, CO","Eugene, OR",CO,OR,F,996,2,12,12,2017,2,6
470394,1950,1429,1185,1716,3504,4317,DEN,MSP,694,1,United Air Lines Inc.,0A875,"Denver, CO","Minneapolis, MN",CO,MN,F,680,2,12,13,2017,2,6
427827,1536,2385,2072,1426,186,6256,DEN,RDU,698,1,United Air Lines Inc.,0A875,"Denver, CO","Raleigh/Durham, NC",CO,NC,F,1436,3,12,12,2017,2,6
487206,1980,2000,1718,1878,79,10278,DEN,SEA,614,1,United Air Lines Inc.,0A875,"Denver, CO","Seattle, WA",CO,WA,F,1024,3,12,12,2017,2,6
408503,1800,1420,1127,1731,616,8809,DFW,DEN,694,1,United Air Lines Inc.,0A875,"Dallas/Fort Worth, TX","Denver, CO",TX,CO,F,641,2,12,12,2017,2,6
458261,1980,1829,1542,1873,90,0,MKE,DEN,614,1,United Air Lines Inc.,0A875,"Milwaukee, WI","Denver, CO",WI,CO,F,896,2,12,12,2017,2,6
470478,2112,1413,1120,1577,37,6299,MSP,DEN,634,1,United Air Lines Inc.,0A875,"Minneapolis, MN","Denver, CO",MN,CO,F,680,2,12,12,2017,2,6
432929,1800,1574,1327,1543,500,7881,SMF,DEN,694,1,United Air Lines Inc.,0A875,"Sacramento, CA","Denver, CO",CA,CO,F,909,2,12,12,2017,2,6
386400,1716,1789,1552,1498,2576,0,DEN,BNA,619,1,Southwest Airlines Co.,6725,"Denver, CO","Nashville, TN",CO,TN,F,1014,3,12,12,2017,2,6
761644,0,1101,933,0,147172,0,FAT,GJT,622,2,Federal Express Corporation,6200,"Fresno, CA","Grand Junction, CO",CA,CO,G,632,2,12,12,2017,2,6
133416,600,1451,1128,520,0,0,SGF,DEN,675,1,Trans States Airlines,6904,"Springfield, MO","Denver, CO",MO,CO,F,637,2,12,12,2017,2,6
1313000,2028,2238,1986,1874,0,0,CVG,DEN,698,1,Allegiant Air,6035,"Cincinnati, OH","Denver, CO",KY,CO,F,1069,3,13,13,2017,2,6
1313000,2028,1992,1686,1776,0,0,DEN,CVG,698,1,Allegiant Air,6035,"Denver, CO","Cincinnati, OH",CO,KY,F,1069,3,13,13,2017,2,6
447798,1716,3306,2811,1492,4,0,LGA,DEN,698,1,Delta Air Lines Inc.,1260,"New York, NY","Denver, CO",NY,CO,F,1620,4,13,13,2017,2,6
241380,909,1153,823,762,0,0,DEN,SLC,631,1,SkyWest Airlines Inc.,6700,"Denver, CO","Salt Lake City, UT",CO,UT,F,391,1,13,13,2017,2,6
172000,650,1758,1468,501,0,0,MLI,DEN,629,1,SkyWest Airlines Inc.,6700,"Moline, IL","Denver, CO",IL,CO,F,752,2,13,13,2017,2,6
441252,1950,1090,862,1495,719,8615,DEN,BIL,694,1,United Air Lines Inc.,0A875,"Denver, CO","Billings, MT",CO,MT,F,455,1,13,13,2017,2,6
