AIRCRAFT_TYPE,AIRCRAFT_CONFIG,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,RAMP_TO_RAMP,AIR_TIME,DISTANCE_GROUP,CLASS
673,1,21803,76,69,0,0,89,66,1,F
677,1,19092,70,52,0,0,90,68,1,F
673,1,21803,76,67,0,0,177,153,3,F
673,1,21803,76,52,0,0,100,80,2,F
698,1,30000,150,134,0,0,162,143,3,F
698,1,30000,150,143,0,0,161,142,3,F
698,1,30000,150,64,0,0,153,133,3,F
694,1,36000,180,178,0,0,183,109,2,F
698,1,30000,150,113,0,0,153,135,2,F
694,1,37200,180,180,0,0,213,189,4,F
698,1,30000,150,126,0,0,228,183,4,F
694,1,36000,180,136,0,0,119,95,2,F
694,1,37200,180,180,0,0,134,111,2,F
698,1,30000,150,110,0,0,131,113,2,F
694,1,37200,180,145,0,0,113,83,2,F
694,1,36000,180,151,0,0,115,93,2,F
694,1,36000,180,136,0,0,139,123,3,F
698,1,30000,150,142,0,0,193,154,3,F
694,1,37200,180,132,0,0,220,194,3,F
694,1,36000,180,171,0,0,152,125,2,F
698,1,30000,150,150,0,0,163,145,2,F
694,1,36000,180,169,0,0,214,192,4,F
694,1,36000,180,102,0,0,112,84,2,F
694,1,37200,180,180,0,0,179,134,2,F
694,1,36000,180,142,0,0,112,88,2,F
694,1,36000,180,152,0,0,152,121,2,F
694,1,37200,180,4,0,0,210,188,4,F
694,1,36000,180,140,0,0,172,159,3,F
691,2,107634,0,0,16753,0,191,159,2,G
730,2,136966,0,0,14986,0,136,115,2,G
691,2,104189,0,0,50142,0,216,181,2,G
691,2,104402,0,0,23383,0,176,151,3,G
691,2,107840,0,0,47075,0,95,72,1,G
691,2,104608,0,0,42470,0,108,90,2,G
691,2,107931,0,0,42190,0,60,42,1,G
730,2,136966,0,0,13780,0,147,129,2,G
740,2,193214,0,0,114987,0,101,82,2,G
691,2,107931,0,0,42190,0,221,198,3,G
740,2,193732,0,0,30465,0,133,115,2,G
698,1,29000,145,144,0,0,153,133,3,F
698,1,29000,145,127,0,0,159,142,2,F
