ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED
11423,11292,14,14
12266,11292,14,13
13871,11292,14,14
13891,11292,14,14
14831,11292,14,14
11259,11292,14,14
11697,11292,14,14
10693,11292,14,14
11292,10693,14,14
11109,14747,15,15
11603,11292,15,15
14747,11109,15,15
10140,11292,15,15
11292,14122,15,15
13871,11292,15,15
14122,11292,15,15
11423,11292,15,14
11292,13485,15,15
13485,11292,15,15
11292,13244,15,15
11292,12003,15,15
11292,15919,15,15
15919,11292,15,15
11433,11292,16,16
11292,13367,16,16
11292,10140,16,16
12889,11292,16,16
12953,11292,16,16
14747,11292,16,16
14893,11292,16,16
13244,11292,16,16
10693,11292,16,16
11292,10693,16,16
11292,13486,16,16
11292,15412,16,16
13486,11292,16,16
15412,11292,16,16
11921,11638,16,16
11921,13244,16,16
13244,11921,16,16
12003,11292,16,16
12992,11292,16,16
10950,14107,16,16
14107,10950,16,16
11292,13487,17,18
11433,11292,17,17
15370,11292,17,17
10140,11292,17,17
11292,13198,17,17
11292,14262,17,17
11540,11292,17,17
14262,11292,17,17
11066,11292,17,17
11292,10140,17,17
11292,11042,17,19
11292,12339,17,17
11292,12889,17,17
13264,11292,17,17
13495,11292,17,16
14122,11292,17,17
14831,11292,17,17
11292,11259,17,17
11292,14057,17,17
11292,14747,17,17
14057,11292,17,17
14747,11292,17,17
11292,13367,17,17
11292,11540,18,18
11292,11603,18,18
11292,15919,18,18
11603,11292,18,18
12278,11292,18,18
10140,11292,18,18
11292,10821,18,18
11292,11066,18,18
11292,12266,18,18
11292,14122,18,18
11292,14831,18,18
11292,14869,18,18
11292,15016,18,18
14869,11292,18,18
15304,11292,18,18
11292,12889,18,18
11292,15370,18,17
11109,11292,18,18
11292,11109,18,18
11423,11292,18,18
10620,11292,18,18
11292,10620,18,18
11292,13891,18,18
13891,11292,18,18
14512,11292,18,18
11292,12278,19,19
11292,14730,19,19
14457,11292,19,19
10529,11292,19,19
10849,11292,19,19
11292,10849,19,19
11292,13264,19,19
11292,13495,19,19
11292,14107,19,19
11292,14570,19,19
11292,14683,19,19
11292,14771,19,19
11775,11292,19,19
11884,11292,19,19
14570,11292,19,19
14771,11292,19,19
15304,11292,19,19
10140,11292,19,19
11292,10140,19,19
11292,11042,19,19
11292,14869,19,19
13198,11292,19,19
11109,13930,19,19
10194,11292,19,19
11292,10194,19,19
13244,11292,19,19
10397,11292,20,20
11292,13367,20,20
11292,13495,20,19
10372,14869,20,20
11267,11292,20,20
11292,13198,20,20
11292,15919,20,20
11298,11292,20,20
11638,11292,20,20
14107,11292,20,20
14683,11292,20,19
10423,11292,20,20
11057,11292,20,20
11292,11057,20,20
11292,11775,20,20
11292,11884,20,20
11292,13851,20,20
11292,14122,20,20
11292,14679,20,20
11292,14683,20,20
11775,11292,20,20
11292,11042,20,20
11292,11423,20,20
11423,11292,20,20
13930,11109,20,20
13487,11292,21,21
11292,12278,21,20
10713,11292,21,21
11292,10140,21,21
11292,15016,21,21
14869,10372,21,21
10397,11292,21,20
11292,11697,21,21
11292,13487,21,21
11292,13891,21,21
11292,14057,21,21
11292,14747,21,21
11292,14831,21,21
11292,15304,21,21
11986,11292,21,20
13198,11292,21,21
13891,11292,21,21
14100,11292,21,20
14122,11292,21,21
15016,11292,21,21
15304,11292,21,21
11292,10529,21,21
11292,14570,21,21
11292,14730,21,21
11292,14869,21,21
11292,13198,21,21
10140,11413,22,22
11711,11413,22,22
11292,11193,22,21
12094,11292,22,22
14783,11292,22,22
10372,14771,22,22
10423,11292,22,22
11447,11292,22,22
12992,11292,22,22
13029,11292,22,22
11292,10529,22,22
11292,13871,22,22
11292,14524,22,22
11292,14689,22,22
11292,14771,22,22
11697,11292,22,22
13487,11292,22,21
13495,11292,22,22
13871,11292,22,22
14057,11292,22,22
14524,11292,22,22
14683,11292,22,22
14689,11292,22,22
11042,11292,22,22
11292,11066,22,22
11292,12953,22,22
10627,11292,22,22
11292,10627,22,22
11109,13244,22,22
12094,11122,22,22
13244,11109,22,22
11292,14570,22,22
11292,12094,23,23
11292,13871,23,25
11292,14457,23,23
