"code","long","lat"
"02041",-70.65,42.07
"02043",-70.88,42.21
"02044",-70.88,42.24
"02045",-70.87,42.28
"02047",-70.69,42.13
"02048",-71.21,42.01
"02050",-70.71,42.11
"02051",-70.70,42.09
"02052",-71.30,42.18
"02053",-71.42,42.15
"02054",-71.36,42.16
"02055",-70.76,42.24
"02056",-71.32,42.11
"02059",-70.65,42.07
"02060",-70.78,42.21
"02061",-70.81,42.16
"02062",-71.19,42.18
"02065",-70.70,42.09
"02066",-70.76,42.20
"02067",-71.18,42.10
"02070",-71.38,42.03
"02071",-71.27,42.10
"02072",-71.10,42.11
"02081",-71.26,42.14
"02090",-71.21,42.22
"02093",-71.35,42.05
"02101",-71.05,42.35
"02102",-71.05,42.35
"02103",-71.05,42.35
"02104",-71.05,42.35
"02105",-71.05,42.35
"02106",-71.05,42.35
"02107",-71.05,42.35
"02108",-71.06,42.35
"02109",-71.05,42.36
"02110",-71.05,42.35
"02111",-71.05,42.35
"02112",-71.05,42.35
"02113",-71.05,42.36
"02114",-71.06,42.36
"02115",-71.09,42.34
"02116",-71.07,42.35
"02117",-71.07,42.34
"02118",-71.07,42.33
"02119",-71.08,42.32
"02120",-71.09,42.33
"02121",-71.08,42.30
"02122",-71.05,42.29
"02123",-71.08,42.34
"02124",-71.07,42.28
"02125",-71.05,42.31
"02126",-71.09,42.27
"02127",-71.04,42.33
"02128",-71.02,42.37
"02129",-71.06,42.37
"02130",-71.11,42.30
"02131",-71.12,42.28
"02132",-71.16,42.27
"02133",-71.06,42.35
"02134",-71.12,42.35
"02135",-71.15,42.34
"02136",-71.12,42.25
"02137",-71.13,42.23
"02138",-71.13,42.38
"02139",-71.10,42.36
"02140",-71.13,42.39
"02141",-71.08,42.37
"02142",-71.08,42.36
"02143",-71.09,42.38
"02144",-71.12,42.40
"02145",-71.09,42.39
"02148",-71.05,42.43
"02149",-71.05,42.40
"02150",-71.03,42.39
"02151",-71.00,42.41
"02152",-70.97,42.37
"02153",-71.11,42.40
"02155",-71.10,42.42
"02156",-71.13,42.42
"02163",-71.12,42.36
"02169",-71.01,42.24
"02170",-71.01,42.26
"02171",-71.02,42.28
"02176",-71.05,42.45
"02180",-71.09,42.47
"02184",-71.00,42.20
"02185",-71.00,42.20
"02186",-71.08,42.23
"02187",-71.06,42.26
"02188",-70.95,42.20
"02189",-70.93,42.21
"02190",-70.95,42.16
"02191",-70.94,42.24
"02196",-71.05,42.34
"02199",-71.08,42.34
"02201",-71.05,42.35
"02203",-71.06,42.36
"02204",-71.05,42.39
"02205",-71.05,42.34
"02206",-71.05,42.39
"02207",-71.05,42.35
"02208",-71.05,42.35
"02209",-71.05,42.35
"02210",-71.04,42.34
"02211",-71.05,42.35
"02212",-71.05,42.35
"02215",-71.10,42.34
"02216",-71.05,42.35
"02217",-71.07,42.34
"02222",-71.06,42.36
"02228",-71.02,42.36
"02238",-71.10,42.36
"02239",-71.10,42.36
"02241",-71.05,42.35
"02266",-71.05,42.34
"02269",-71.00,42.25
"02283",-71.05,42.34
"02284",-71.05,42.34
"02293",-71.05,42.34
"02295",-71.07,42.34
"02297",-71.05,42.34
