Aircraft_Group,Aircraft_Type,Aircraft_Config,LineNUM
6,619,1,604
6,612,1,605
6,614,1,606
6,614,1,607
6,619,1,608
6,677,1,609
6,699,1,610
6,699,1,611
6,614,1,612
6,675,1,613
4,405,1,614
4,405,1,615
6,631,1,616
6,631,1,617
6,631,1,618
6,631,1,619
6,631,1,620
6,673,1,621
6,673,1,622
6,673,1,623
6,629,1,624
6,673,1,625
6,631,1,626
6,631,1,627
6,673,1,628
6,631,1,629
6,631,1,630
6,673,1,631
6,631,1,632
6,629,1,633
6,631,1,634
6,631,1,635
6,634,1,636
6,634,1,637
6,694,1,638
6,614,1,639
6,694,1,640
6,694,1,641
6,694,1,642
6,627,1,643
6,614,1,644
6,698,1,645
6,694,1,646
6,694,1,647
6,694,1,648
6,612,1,649
6,614,1,650
6,614,1,651
6,619,1,652
6,614,1,653
6,614,1,654
6,614,1,655
6,614,1,656
6,677,1,657
6,677,1,658
6,677,1,659
6,677,1,660
6,677,1,661
6,622,2,662
6,626,2,663
7,730,2,664
6,622,2,665
7,730,2,666
6,675,1,667
6,655,1,668
6,655,1,669
6,631,1,670
6,631,1,671
6,631,1,672
6,673,1,673
6,673,1,674
6,631,1,675
6,673,1,676
6,673,1,677
6,614,1,678
6,698,1,679
6,698,1,680
6,614,1,681
6,698,1,682
6,698,1,683
6,634,1,684
6,634,1,685
6,698,1,686
6,634,1,687
6,698,1,688
6,698,1,689
6,634,1,690
6,634,1,691
6,634,1,692
6,694,1,693
6,634,1,694
6,614,1,695
6,698,1,696
6,694,1,697
6,619,1,698
6,614,1,699
6,614,1,700
6,612,1,701
6,614,1,702
6,612,1,703
6,619,1,704
6,675,1,705
6,675,1,706
6,675,1,707
7,740,2,708
7,740,2,709
6,694,1,710
6,694,1,711
6,631,1,712
6,631,1,713
6,631,1,714
6,631,1,715
6,698,1,716
6,698,1,717
6,694,1,718
6,694,1,719
6,614,1,720
6,698,1,721
6,694,1,722
6,634,1,723
6,634,1,724
6,694,1,725
6,698,1,726
6,694,1,727
6,634,1,728
6,614,1,729
6,619,1,730
6,619,1,731
6,619,1,732
6,619,1,733
6,619,1,734
6,619,1,735
6,619,1,736
6,614,1,737
6,677,1,738
6,698,1,739
6,698,1,740
7,740,2,741
6,675,1,742
6,675,1,743
6,675,1,744
6,698,1,745
6,698,1,746
