ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,Origin,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,Dest,DEST_WAC,LineNUM
11292,1129202,DEN,82,13198,1319801,MCI,64,201
11292,1129202,DEN,82,13204,1320402,MCO,33,202
11292,1129202,DEN,82,13930,1393004,ORD,41,203
11292,1129202,DEN,82,14100,1410002,PHL,23,204
11292,1129202,DEN,82,14262,1426204,PSP,91,205
11292,1129202,DEN,82,14524,1452401,RIC,38,206
11292,1129202,DEN,82,14570,1457002,RNO,85,207
11292,1129202,DEN,82,14869,1486903,SLC,87,208
11292,1129202,DEN,82,15016,1501603,STL,64,209
11292,1129202,DEN,82,15016,1501603,STL,64,210
11292,1129202,DEN,82,15370,1537002,TUL,73,211
12264,1226402,IAD,38,11292,1129202,DEN,82,212
12266,1226603,IAH,74,11292,1129202,DEN,82,213
12266,1226603,IAH,74,11292,1129202,DEN,82,214
13198,1319801,MCI,64,11292,1129202,DEN,82,215
13204,1320402,MCO,33,11292,1129202,DEN,82,216
14262,1426204,PSP,91,11292,1129202,DEN,82,217
14262,1426204,PSP,91,11292,1129202,DEN,82,218
14524,1452401,RIC,38,11292,1129202,DEN,82,219
14570,1457002,RNO,85,11292,1129202,DEN,82,220
14683,1468303,SAT,74,11292,1129202,DEN,82,221
14689,1468902,SBA,91,11292,1129202,DEN,82,222
14771,1477102,SFO,91,11292,1129202,DEN,82,223
14771,1477102,SFO,91,11292,1129202,DEN,82,224
14908,1490803,SNA,91,11292,1129202,DEN,82,225
15016,1501603,STL,64,11292,1129202,DEN,82,226
15016,1501603,STL,64,11292,1129202,DEN,82,227
15370,1537002,TUL,73,11292,1129202,DEN,82,228
10994,1099402,CHS,37,11292,1129202,DEN,82,229
11042,1104203,CLE,44,11292,1129202,DEN,82,230
11292,1129202,DEN,82,10140,1014003,ABQ,86,231
11292,1129202,DEN,82,10713,1071302,BOI,83,232
11292,1129202,DEN,82,11433,1143302,DTW,43,233
11292,1129202,DEN,82,11986,1198603,GRR,43,234
11292,1129202,DEN,82,13342,1334205,MKE,45,235
11292,1129202,DEN,82,14057,1405702,PDX,92,236
11292,1129202,DEN,82,14100,1410002,PHL,23,237
11292,1129202,DEN,82,14570,1457002,RNO,85,238
11292,1129202,DEN,82,14635,1463502,RSW,33,239
11292,1129202,DEN,82,15370,1537002,TUL,73,240
11433,1143302,DTW,43,11292,1129202,DEN,82,241
11986,1198603,GRR,43,11292,1129202,DEN,82,242
13495,1349503,MSY,72,11292,1129202,DEN,82,243
14122,1412202,PIT,23,11292,1129202,DEN,82,244
14570,1457002,RNO,85,11292,1129202,DEN,82,245
14635,1463502,RSW,33,11292,1129202,DEN,82,246
14893,1489302,SMF,91,11292,1129202,DEN,82,247
10397,1039705,ATL,34,11292,1129202,DEN,82,248
11109,1110902,COS,82,11292,1129202,DEN,82,249
11292,1129202,DEN,82,11042,1104203,CLE,44,250
11292,1129202,DEN,82,11109,1110902,COS,82,251
11292,1129202,DEN,82,11423,1142304,DSM,61,252
11292,1129202,DEN,82,12278,1227803,ICT,62,253
11292,1129202,DEN,82,13871,1387102,OMA,65,254
11292,1129202,DEN,82,14869,1486903,SLC,87,255
12278,1227803,ICT,62,11292,1129202,DEN,82,256
14730,1473003,SDF,52,11292,1129202,DEN,82,257
15370,1537002,TUL,73,11292,1129202,DEN,82,258
11193,1119302,CVG,52,11292,1129202,DEN,82,259
11292,1129202,DEN,82,11066,1106603,CMH,44,260
11292,1129202,DEN,82,11433,1143302,DTW,43,261
11292,1129202,DEN,82,12266,1226603,IAH,74,262
11292,1129202,DEN,82,12339,1233904,IND,42,263
11292,1129202,DEN,82,13204,1320402,MCO,33,264
11292,1129202,DEN,82,13204,1320402,MCO,33,265
11292,1129202,DEN,82,13486,1348602,MSO,84,266
11292,1129202,DEN,82,13930,1393004,ORD,41,267
11292,1129202,DEN,82,13930,1393004,ORD,41,268
11292,1129202,DEN,82,14107,1410702,PHX,81,269
11292,1129202,DEN,82,15016,1501603,STL,64,270
11292,1129202,DEN,82,15412,1541203,TYS,54,271
11433,1143302,DTW,43,11292,1129202,DEN,82,272
12264,1226402,IAD,38,11292,1129202,DEN,82,273
12266,1226603,IAH,74,11292,1129202,DEN,82,274
12339,1233904,IND,42,11292,1129202,DEN,82,275
13204,1320402,MCO,33,11292,1129202,DEN,82,276
13486,1348602,MSO,84,11292,1129202,DEN,82,277
13930,1393004,ORD,41,11292,1129202,DEN,82,278
14107,1410702,PHX,81,11292,1129202,DEN,82,279
15016,1501603,STL,64,11292,1129202,DEN,82,280
15304,1530402,TPA,33,11292,1129202,DEN,82,281
15412,1541203,TYS,54,11292,1129202,DEN,82,282
11292,1129202,DEN,82,11298,1129804,DFW,74,283
11292,1129202,DEN,82,12339,1233904,IND,42,284
11292,1129202,DEN,82,13198,1319801,MCI,64,285
11292,1129202,DEN,82,13495,1349503,MSY,72,286
11292,1129202,DEN,82,14869,1486903,SLC,87,287
11292,1129202,DEN,82,15376,1537602,TUS,81,288
11921,1192102,GJT,82,14869,1486903,SLC,87,289
12339,1233904,IND,42,11292,1129202,DEN,82,290
13198,1319801,MCI,64,11292,1129202,DEN,82,291
13244,1324402,MEM,54,11921,1192102,GJT,82,292
13796,1379604,OAK,91,11292,1129202,DEN,82,293
11292,1129202,DEN,82,11433,1143302,DTW,43,294
12266,1226603,IAH,74,11292,1129202,DEN,82,295
13502,1350202,MTJ,82,12891,1289102,LAW,73,296
11292,1129202,DEN,82,11413,1141304,DRO,82,297
11413,1141304,DRO,82,11292,1129202,DEN,82,298
11986,1198603,GRR,43,11292,1129202,DEN,82,299
11298,1129804,DFW,74,13502,1350202,MTJ,82,300
13502,1350202,MTJ,82,11298,1129804,DFW,74,301
11292,1129202,DEN,82,14877,1487704,SLN,62,302
14877,1487704,SLN,62,11292,1129202,DEN,82,303
11109,1110902,COS,82,15016,1501603,STL,64,304
11292,1129202,DEN,82,11109,1110902,COS,82,305
12266,1226603,IAH,74,11292,1129202,DEN,82,306
12266,1226603,IAH,74,12012,1201203,GUC,82,307
11292,1129202,DEN,82,10559,1055902,BFI,93,308
11292,1129202,DEN,82,12889,1288903,LAS,85,309
11292,1129202,DEN,82,14730,1473003,SDF,52,310
14869,1486903,SLC,87,11292,1129202,DEN,82,311
14869,1486903,SLC,87,11292,1129202,DEN,82,312
11292,1129202,DEN,82,14057,1405702,PDX,92,313
12892,1289205,LAX,91,11292,1129202,DEN,82,314
14100,1410002,PHL,23,11292,1129202,DEN,82,315
11292,1129202,DEN,82,13487,1348702,MSP,63,316
11292,1129202,DEN,82,13487,1348702,MSP,63,317
14869,1486903,SLC,87,11292,1129202,DEN,82,318
11292,1129202,DEN,82,11986,1198603,GRR,43,319
11423,1142304,DSM,61,11292,1129202,DEN,82,320
11109,1110902,COS,82,11292,1129202,DEN,82,321
11292,1129202,DEN,82,11109,1110902,COS,82,322
11292,1129202,DEN,82,11921,1192102,GJT,82,323
11292,1129202,DEN,82,12003,1200302,GTF,84,324
11292,1129202,DEN,82,14057,1405702,PDX,92,325
11292,1129202,DEN,82,14683,1468303,SAT,74,326
11638,1163805,FAT,91,11109,1110902,COS,82,327
11921,1192102,GJT,82,10372,1037203,ASE,82,328
11921,1192102,GJT,82,11292,1129202,DEN,82,329
11921,1192102,GJT,82,11298,1129804,DFW,74,330
12003,1200302,GTF,84,11292,1129202,DEN,82,331
13930,1393004,ORD,41,11921,1192102,GJT,82,332
14679,1467903,SAN,91,11292,1129202,DEN,82,333
15919,1591902,XNA,71,11292,1129202,DEN,82,334
10397,1039705,ATL,34,11292,1129202,DEN,82,335
11193,1119302,CVG,52,11292,1129202,DEN,82,336
11278,1127803,DCA,38,11292,1129202,DEN,82,337
11292,1129202,DEN,82,10397,1039705,ATL,34,338
11292,1129202,DEN,82,10721,1072102,BOS,13,339
11292,1129202,DEN,82,11278,1127803,DCA,38,340
11292,1129202,DEN,82,11884,1188402,GEG,93,341
11292,1129202,DEN,82,12278,1227803,ICT,62,342
11292,1129202,DEN,82,14492,1449202,RDU,36,343
11292,1129202,DEN,82,14689,1468902,SBA,91,344
11292,1129202,DEN,82,15304,1530402,TPA,33,345
11292,1129202,DEN,82,15376,1537602,TUS,81,346
11603,1160302,EUG,92,11292,1129202,DEN,82,347
11618,1161802,EWR,21,11292,1129202,DEN,82,348
11884,1188402,GEG,93,11292,1129202,DEN,82,349
11986,1198603,GRR,43,11292,1129202,DEN,82,350
12278,1227803,ICT,62,11292,1129202,DEN,82,351
12889,1288903,LAS,85,11292,1129202,DEN,82,352
15304,1530402,TPA,33,11292,1129202,DEN,82,353
15376,1537602,TUS,81,11292,1129202,DEN,82,354
10713,1071302,BOI,83,11292,1129202,DEN,82,355
11292,1129202,DEN,82,10140,1014003,ABQ,86,356
11292,1129202,DEN,82,10821,1082104,BWI,35,357
11292,1129202,DEN,82,10994,1099402,CHS,37,358
11292,1129202,DEN,82,11066,1106603,CMH,44,359
11292,1129202,DEN,82,11884,1188402,GEG,93,360
11292,1129202,DEN,82,14730,1473003,SDF,52,361
11292,1129202,DEN,82,14869,1486903,SLC,87,362
11884,1188402,GEG,93,11292,1129202,DEN,82,363
14057,1405702,PDX,92,11292,1129202,DEN,82,364
14679,1467903,SAN,91,11292,1129202,DEN,82,365
14747,1474703,SEA,93,11292,1129202,DEN,82,366
14831,1483104,SJC,91,11292,1129202,DEN,82,367
11066,1106603,CMH,44,11292,1129202,DEN,82,368
11292,1129202,DEN,82,10599,1059904,BHM,51,369
11292,1129202,DEN,82,11066,1106603,CMH,44,370
11292,1129202,DEN,82,13487,1348702,MSP,63,371
11292,1129202,DEN,82,15370,1537002,TUL,73,372
13851,1385103,OKC,73,11292,1129202,DEN,82,373
11292,1129202,DEN,82,13485,1348502,MSN,45,374
11292,1129202,DEN,82,13487,1348702,MSP,63,375
11292,1129202,DEN,82,14492,1449202,RDU,36,376
11292,1129202,DEN,82,14683,1468303,SAT,74,377
