ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,LineNUM
NM,35,New Mexico,CO,8,Colorado,187
CT,9,Connecticut,CO,8,Colorado,188
MA,25,Massachusetts,CO,8,Colorado,189
MT,30,Montana,CO,8,Colorado,190
CO,8,Colorado,NM,35,New Mexico,191
CO,8,Colorado,MT,30,Montana,192
CO,8,Colorado,MA,25,Massachusetts,193
CO,8,Colorado,MT,30,Montana,194
CO,8,Colorado,KY,21,Kentucky,195
CO,8,Colorado,MI,26,Michigan,196
CO,8,Colorado,FL,12,Florida,197
CO,8,Colorado,VA,51,Virginia,198
CO,8,Colorado,TX,48,Texas,199
CO,8,Colorado,NV,32,Nevada,200
CO,8,Colorado,MO,29,Missouri,201
CO,8,Colorado,FL,12,Florida,202
CO,8,Colorado,IL,17,Illinois,203
CO,8,Colorado,PA,42,Pennsylvania,204
CO,8,Colorado,CA,6,California,205
CO,8,Colorado,VA,51,Virginia,206
CO,8,Colorado,NV,32,Nevada,207
CO,8,Colorado,UT,49,Utah,208
CO,8,Colorado,MO,29,Missouri,209
CO,8,Colorado,MO,29,Missouri,210
CO,8,Colorado,OK,40,Oklahoma,211
VA,51,Virginia,CO,8,Colorado,212
TX,48,Texas,CO,8,Colorado,213
TX,48,Texas,CO,8,Colorado,214
MO,29,Missouri,CO,8,Colorado,215
FL,12,Florida,CO,8,Colorado,216
CA,6,California,CO,8,Colorado,217
CA,6,California,CO,8,Colorado,218
VA,51,Virginia,CO,8,Colorado,219
NV,32,Nevada,CO,8,Colorado,220
TX,48,Texas,CO,8,Colorado,221
CA,6,California,CO,8,Colorado,222
CA,6,California,CO,8,Colorado,223
CA,6,California,CO,8,Colorado,224
CA,6,California,CO,8,Colorado,225
MO,29,Missouri,CO,8,Colorado,226
MO,29,Missouri,CO,8,Colorado,227
OK,40,Oklahoma,CO,8,Colorado,228
SC,45,South Carolina,CO,8,Colorado,229
OH,39,Ohio,CO,8,Colorado,230
CO,8,Colorado,NM,35,New Mexico,231
CO,8,Colorado,ID,16,Idaho,232
CO,8,Colorado,MI,26,Michigan,233
CO,8,Colorado,MI,26,Michigan,234
CO,8,Colorado,WI,55,Wisconsin,235
CO,8,Colorado,OR,41,Oregon,236
CO,8,Colorado,PA,42,Pennsylvania,237
CO,8,Colorado,NV,32,Nevada,238
CO,8,Colorado,FL,12,Florida,239
CO,8,Colorado,OK,40,Oklahoma,240
MI,26,Michigan,CO,8,Colorado,241
MI,26,Michigan,CO,8,Colorado,242
LA,22,Louisiana,CO,8,Colorado,243
PA,42,Pennsylvania,CO,8,Colorado,244
NV,32,Nevada,CO,8,Colorado,245
FL,12,Florida,CO,8,Colorado,246
CA,6,California,CO,8,Colorado,247
GA,13,Georgia,CO,8,Colorado,248
CO,8,Colorado,CO,8,Colorado,249
CO,8,Colorado,OH,39,Ohio,250
CO,8,Colorado,CO,8,Colorado,251
CO,8,Colorado,IA,19,Iowa,252
CO,8,Colorado,KS,20,Kansas,253
CO,8,Colorado,NE,31,Nebraska,254
CO,8,Colorado,UT,49,Utah,255
KS,20,Kansas,CO,8,Colorado,256
KY,21,Kentucky,CO,8,Colorado,257
OK,40,Oklahoma,CO,8,Colorado,258
KY,21,Kentucky,CO,8,Colorado,259
CO,8,Colorado,OH,39,Ohio,260
CO,8,Colorado,MI,26,Michigan,261
CO,8,Colorado,TX,48,Texas,262
CO,8,Colorado,IN,18,Indiana,263
CO,8,Colorado,FL,12,Florida,264
CO,8,Colorado,FL,12,Florida,265
CO,8,Colorado,MT,30,Montana,266
CO,8,Colorado,IL,17,Illinois,267
CO,8,Colorado,IL,17,Illinois,268
CO,8,Colorado,AZ,4,Arizona,269
CO,8,Colorado,MO,29,Missouri,270
CO,8,Colorado,TN,47,Tennessee,271
MI,26,Michigan,CO,8,Colorado,272
VA,51,Virginia,CO,8,Colorado,273
TX,48,Texas,CO,8,Colorado,274
IN,18,Indiana,CO,8,Colorado,275
FL,12,Florida,CO,8,Colorado,276
MT,30,Montana,CO,8,Colorado,277
IL,17,Illinois,CO,8,Colorado,278
AZ,4,Arizona,CO,8,Colorado,279
MO,29,Missouri,CO,8,Colorado,280
FL,12,Florida,CO,8,Colorado,281
TN,47,Tennessee,CO,8,Colorado,282
CO,8,Colorado,TX,48,Texas,283
CO,8,Colorado,IN,18,Indiana,284
CO,8,Colorado,MO,29,Missouri,285
CO,8,Colorado,LA,22,Louisiana,286
CO,8,Colorado,UT,49,Utah,287
CO,8,Colorado,AZ,4,Arizona,288
CO,8,Colorado,UT,49,Utah,289
IN,18,Indiana,CO,8,Colorado,290
MO,29,Missouri,CO,8,Colorado,291
TN,47,Tennessee,CO,8,Colorado,292
CA,6,California,CO,8,Colorado,293
CO,8,Colorado,MI,26,Michigan,294
TX,48,Texas,CO,8,Colorado,295
CO,8,Colorado,OK,40,Oklahoma,296
CO,8,Colorado,CO,8,Colorado,297
CO,8,Colorado,CO,8,Colorado,298
MI,26,Michigan,CO,8,Colorado,299
TX,48,Texas,CO,8,Colorado,300
CO,8,Colorado,TX,48,Texas,301
CO,8,Colorado,KS,20,Kansas,302
KS,20,Kansas,CO,8,Colorado,303
CO,8,Colorado,MO,29,Missouri,304
CO,8,Colorado,CO,8,Colorado,305
TX,48,Texas,CO,8,Colorado,306
TX,48,Texas,CO,8,Colorado,307
CO,8,Colorado,WA,53,Washington,308
CO,8,Colorado,NV,32,Nevada,309
CO,8,Colorado,KY,21,Kentucky,310
UT,49,Utah,CO,8,Colorado,311
UT,49,Utah,CO,8,Colorado,312
CO,8,Colorado,OR,41,Oregon,313
CA,6,California,CO,8,Colorado,314
PA,42,Pennsylvania,CO,8,Colorado,315
CO,8,Colorado,MN,27,Minnesota,316
CO,8,Colorado,MN,27,Minnesota,317
UT,49,Utah,CO,8,Colorado,318
