ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,Origin,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,Dest,DEST_WAC
10994,1099402,CHS,37,11292,1129202,DEN,82
11042,1104203,CLE,44,11292,1129202,DEN,82
11292,1129202,DEN,82,10713,1071302,BOI,83
11292,1129202,DEN,82,14057,1405702,PDX,92
11292,1129202,DEN,82,14635,1463502,RSW,33
13495,1349503,MSY,72,11292,1129202,DEN,82
14122,1412202,PIT,23,11292,1129202,DEN,82
14635,1463502,RSW,33,11292,1129202,DEN,82
11292,1129202,DEN,82,11109,1110902,COS,82
11292,1129202,DEN,82,11423,1142304,DSM,61
11292,1129202,DEN,82,12278,1227803,ICT,62
12278,1227803,ICT,62,11292,1129202,DEN,82
14730,1473003,SDF,52,11292,1129202,DEN,82
11292,1129202,DEN,82,11066,1106603,CMH,44
11292,1129202,DEN,82,12339,1233904,IND,42
11292,1129202,DEN,82,13486,1348602,MSO,84
11292,1129202,DEN,82,15412,1541203,TYS,54
12339,1233904,IND,42,11292,1129202,DEN,82
13486,1348602,MSO,84,11292,1129202,DEN,82
14107,1410702,PHX,81,11292,1129202,DEN,82
15304,1530402,TPA,33,11292,1129202,DEN,82
15412,1541203,TYS,54,11292,1129202,DEN,82
11292,1129202,DEN,82,13495,1349503,MSY,72
11292,1129202,DEN,82,15376,1537602,TUS,81
11921,1192102,GJT,82,14869,1486903,SLC,87
13244,1324402,MEM,54,11921,1192102,GJT,82
13796,1379604,OAK,91,11292,1129202,DEN,82
13502,1350202,MTJ,82,12891,1289102,LAW,73
11292,1129202,DEN,82,11413,1141304,DRO,82
11413,1141304,DRO,82,11292,1129202,DEN,82
11298,1129804,DFW,74,13502,1350202,MTJ,82
13502,1350202,MTJ,82,11298,1129804,DFW,74
11292,1129202,DEN,82,14877,1487704,SLN,62
14877,1487704,SLN,62,11292,1129202,DEN,82
11109,1110902,COS,82,15016,1501603,STL,64
12266,1226603,IAH,74,12012,1201203,GUC,82
11292,1129202,DEN,82,10559,1055902,BFI,93
11423,1142304,DSM,61,11292,1129202,DEN,82
11292,1129202,DEN,82,11921,1192102,GJT,82
11292,1129202,DEN,82,12003,1200302,GTF,84
11292,1129202,DEN,82,14683,1468303,SAT,74
11638,1163805,FAT,91,11109,1110902,COS,82
11921,1192102,GJT,82,10372,1037203,ASE,82
11921,1192102,GJT,82,11292,1129202,DEN,82
11921,1192102,GJT,82,11298,1129804,DFW,74
12003,1200302,GTF,84,11292,1129202,DEN,82
13930,1393004,ORD,41,11921,1192102,GJT,82
15919,1591902,XNA,71,11292,1129202,DEN,82
11278,1127803,DCA,38,11292,1129202,DEN,82
11292,1129202,DEN,82,11278,1127803,DCA,38
11292,1129202,DEN,82,11884,1188402,GEG,93
11292,1129202,DEN,82,14492,1449202,RDU,36
11292,1129202,DEN,82,14689,1468902,SBA,91
11292,1129202,DEN,82,15304,1530402,TPA,33
11603,1160302,EUG,92,11292,1129202,DEN,82
11618,1161802,EWR,21,11292,1129202,DEN,82
11884,1188402,GEG,93,11292,1129202,DEN,82
12889,1288903,LAS,85,11292,1129202,DEN,82
15376,1537602,TUS,81,11292,1129202,DEN,82
10713,1071302,BOI,83,11292,1129202,DEN,82
11292,1129202,DEN,82,10821,1082104,BWI,35
11292,1129202,DEN,82,10994,1099402,CHS,37
14747,1474703,SEA,93,11292,1129202,DEN,82
14831,1483104,SJC,91,11292,1129202,DEN,82
11066,1106603,CMH,44,11292,1129202,DEN,82
11292,1129202,DEN,82,10599,1059904,BHM,51
11292,1129202,DEN,82,13485,1348502,MSN,45
13485,1348502,MSN,45,11292,1129202,DEN,82
11292,1129202,DEN,82,11540,1154003,ELP,74
11298,1129804,DFW,74,11292,1129202,DEN,82
13367,1336703,MLI,41,11292,1129202,DEN,82
10279,1027903,AMA,74,11292,1129202,DEN,82
11292,1129202,DEN,82,10279,1027903,AMA,74
11292,1129202,DEN,82,11267,1126702,DAY,44
11292,1129202,DEN,82,13502,1350202,MTJ,82
11292,1129202,DEN,82,13891,1389101,ONT,91
12892,1289205,LAX,91,11921,1192102,GJT,82
12896,1289605,LBB,74,11292,1129202,DEN,82
13502,1350202,MTJ,82,11292,1129202,DEN,82
13891,1389101,ONT,91,11292,1129202,DEN,82
14457,1445702,RAP,67,11292,1129202,DEN,82
10800,1080003,BUR,91,11292,1129202,DEN,82
10821,1082104,BWI,35,11292,1129202,DEN,82
11057,1105703,CLT,36,11292,1129202,DEN,82
11292,1129202,DEN,82,11618,1161802,EWR,21
10257,1025702,ALB,22,11292,1129202,DEN,82
11292,1129202,DEN,82,12954,1295403,LGB,91
11292,1129202,DEN,82,13931,1393102,ORF,38
11292,1129202,DEN,82,14747,1474703,SEA,93
11292,1129202,DEN,82,14831,1483104,SJC,91
11292,1129202,DEN,82,14893,1489302,SMF,91
13871,1387102,OMA,65,11292,1129202,DEN,82
13931,1393102,ORF,38,11292,1129202,DEN,82
10599,1059904,BHM,51,11292,1129202,DEN,82
11292,1129202,DEN,82,10693,1069302,BNA,54
11292,1129202,DEN,82,13244,1324402,MEM,54
11292,1129202,DEN,82,15919,1591902,XNA,71
13244,1324402,MEM,54,11292,1129202,DEN,82
11003,1100303,CID,61,11292,1129202,DEN,82
10620,1062002,BIL,84,11292,1129202,DEN,82
11292,1129202,DEN,82,14783,1478302,SGF,64
11292,1129202,DEN,82,14814,1481402,SHV,72
14814,1481402,SHV,72,11292,1129202,DEN,82
11413,1141304,DRO,82,12892,1289205,LAX,91
12892,1289205,LAX,91,11413,1141304,DRO,82
14783,1478302,SGF,64,11292,1129202,DEN,82
11292,1129202,DEN,82,11057,1105703,CLT,36
11292,1129202,DEN,82,11603,1160302,EUG,92
11292,1129202,DEN,82,11648,1164802,FCA,84
11292,1129202,DEN,82,12982,1298202,LIH,2
11648,1164802,FCA,84,11292,1129202,DEN,82
12982,1298202,LIH,2,11292,1129202,DEN,82
13342,1334205,MKE,45,11292,1129202,DEN,82
11540,1154003,ELP,74,11292,1129202,DEN,82
13502,1350202,MTJ,82,13930,1393004,ORD,41
13930,1393004,ORD,41,13502,1350202,MTJ,82
11292,1129202,DEN,82,10800,1080003,BUR,91
11292,1129202,DEN,82,13433,1343302,MOT,66
11697,1169704,FLL,33,11292,1129202,DEN,82
10693,1069302,BNA,54,11292,1129202,DEN,82
12191,1219102,HOU,74,11292,1129202,DEN,82
11292,1129202,DEN,82,11233,1123302,CYS,88
11109,1110902,COS,82,12892,1289205,LAX,91
11292,1129202,DEN,82,13964,1396403,OTH,92
13433,1343302,MOT,66,11292,1129202,DEN,82
13964,1396403,OTH,92,11292,1129202,DEN,82
14489,1448902,RDM,92,11292,1129202,DEN,82
10423,1042302,AUS,74,11292,1129202,DEN,82
11292,1129202,DEN,82,12451,1245102,JAX,33
12451,1245102,JAX,33,11292,1129202,DEN,82
11109,1110902,COS,82,11921,1192102,GJT,82
11921,1192102,GJT,82,11109,1110902,COS,82
10561,1056103,BFL,91,11292,1129202,DEN,82
11292,1129202,DEN,82,14122,1412202,PIT,23
11292,1129202,DEN,82,14193,1419304,PNS,33
14193,1419304,PNS,33,11292,1129202,DEN,82
11292,1129202,DEN,82,12094,1209402,HDN,82
11775,1177502,FSD,67,11292,1129202,DEN,82
11292,1129202,DEN,82,10529,1052904,BDL,11
11292,1129202,DEN,82,12953,1295302,LGA,22
11292,1129202,DEN,82,12191,1219102,HOU,74
11109,1110902,COS,82,14771,1477102,SFO,91
14771,1477102,SFO,91,11109,1110902,COS,82
11292,1129202,DEN,82,12012,1201203,GUC,82
12012,1201203,GUC,82,11292,1129202,DEN,82
12094,1209402,HDN,82,11292,1129202,DEN,82
10466,1046602,AZA,81,11109,1110902,COS,82
11109,1110902,COS,82,10466,1046602,AZA,81
11109,1110902,COS,82,12889,1288903,LAS,85
10643,1064301,BKG,64,11292,1129202,DEN,82
11292,1129202,DEN,82,10643,1064301,BKG,64
12266,1226603,IAH,74,11109,1110902,COS,82
11292,1129202,DEN,82,15177,1517702,TEX,82
15177,1517702,TEX,82,11292,1129202,DEN,82
10950,1095002,CEZ,82,14107,1410702,PHX,81
14107,1410702,PHX,81,10950,1095002,CEZ,82
12892,1289205,LAX,91,11109,1110902,COS,82
11292,1129202,DEN,82,12478,1247803,JFK,22
12478,1247803,JFK,22,11292,1129202,DEN,82
11638,1163805,FAT,91,11921,1192102,GJT,82
12953,1295302,LGA,22,11292,1129202,DEN,82
11292,1129202,DEN,82,11995,1199502,GSO,36
11995,1199502,GSO,36,11292,1129202,DEN,82
11259,1125903,DAL,74,11292,1129202,DEN,82
11109,1110902,COS,82,14747,1474703,SEA,93
11292,1129202,DEN,82,13367,1336703,MLI,41
11921,1192102,GJT,82,11638,1163805,FAT,91
11921,1192102,GJT,82,13244,1324402,MEM,54
11292,1129202,DEN,82,11259,1125903,DAL,74
14512,1451202,RFD,41,11292,1129202,DEN,82
11109,1110902,COS,82,13930,1393004,ORD,41
10194,1019403,AFW,74,11292,1129202,DEN,82
11292,1129202,DEN,82,10194,1019403,AFW,74
10372,1037203,ASE,82,14869,1486903,SLC,87
11267,1126702,DAY,44,11292,1129202,DEN,82
11638,1163805,FAT,91,11292,1129202,DEN,82
10140,1014003,ABQ,86,11413,1141304,DRO,82
11711,1171102,FMN,86,11413,1141304,DRO,82
